id,Group,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
GSM831809_con,Control,0,0.0470295376615741,0.0753265959011578,0.0777275443706391,0,0,0,0.155377023693372,0,0.119592358118472,0,0.0542179510981368,0.0058926798024263,0.146101125006383,0.199540823760183,0.0512662172419992,0.0337181871411668,0,0.0334694654969549,0,0.0007404907075343,0
GSM831813_con,Control,0.10478866767682,0,0.126723697864551,0.197667302649533,0,0,0,0.103475725112659,0.0631808148195922,0.0056928352858539,0.00644427552372,0,0.0308227282525423,0.0972338243690087,0.204690178368758,0.0050539431114289,0.0251575625753714,0,0.0290684443901621,0,0,0
GSM831815_con,Control,0.116861859562354,0,0.0512576937716641,0.130558725215327,0,0.0348606473004288,0,0.130405019627971,0.0223804277464977,0.0143608122311321,0.0144485194322522,0.0198387640716761,0,0.0641037103702408,0.258645030893435,0.112564070181376,0.0160953624679111,0.0004179755091012,0.0132013816186332,0,0,0
GSM831816_con,Control,0.13799067814793,0,0.0545888758021622,0.125627357686528,0,0.176011345396641,0,0.093717675106862,0.0386933195637101,0,0,0.0286523741613871,0.0048679705478838,0.0806586764617962,0.112907804465958,0.10498632809664,0,0,0.0412975945625014,0,0,0
GSM831819_con,Control,0.0773243950615208,0.0001361641102571,0.037386172415447,0.139988177241706,0.0173987333204485,0.0575566361123447,0.0428018374432932,0.101266312746059,0,0.164250633743565,0,0,0,0.0778383479803947,0.178366832110341,0.0423526324558232,0.0212661768768386,0,0.0369181257515772,0,0.0051488226303833,0
GSM831820_con,Control,0.186629510563859,0.0395038514322775,0.0186164212490932,0.0957796695033346,0,0.006482009460314,0.0623446111462243,0.147950332625176,0,0.121029595622653,0,0,0,0.0790855979948562,0.138611568986076,0.0755363858833456,0.0095693746510849,0,0,0,0.0114806839365048,0.0073803869452004
GSM831822_con,Control,0.146498479029111,0.0648748823347534,0.0685039411072253,0.178404903518366,0.0123333074552038,0,0.0570470877194903,0.0914985628992891,0.033337871589264,0.0949297022128009,0,0,0,0.0670438560979052,0.0883255502967109,0.0607066324294175,0.0096684641803966,0.0050324371765394,0,0.0217943219535267,0,0
GSM831833_con,Control,0.0491500660973938,0,0.0456284417031483,0.213167689250942,0,0,0,0.0708722372331774,0.0273510037914056,0.0988114178987594,0,0.0509457129403405,0,0.139980134935662,0.213890499672413,0.0846907632088909,0.0023600097086855,0,0.0031520235591822,0,0,0
GSM831834_con,Control,0.202672367924408,0.0313895676663263,0.0760549830947536,0.22098524261965,0.0260189438698481,0,0.0151068469885735,0.131273969978425,0.0338368305595101,0.0185631992243815,0.0012529501207189,0,0,0.0863543837070048,0.0823897422663555,0.0390424001190802,0,0,0,0.0350585718609638,0,0
GSM831836_con,Control,0,0.0167759598338648,0.0420704190111696,0.0909083749887852,0,0.0899363409875691,0,0.130293873005287,0.0602653616953715,0.0452016615785401,0.0184388047048248,0,0.0180619644037927,0.066754507335646,0.213472608099812,0.172775478792371,0.0286422919185387,0,0,0.0064023536444264,0,0
GSM831840_con,Control,0.112516234172669,0,0.0704169261356277,0.0689618076053744,0,0.162032387761449,0,0.120591755003209,0,0.137560029874114,0,0.0589860489509595,0,0.052744826474836,0.155223159627309,0.036599406525629,0.0129205676111087,0,0.0011075055755173,0,0.0103393446821969,0
GSM831841_con,Control,0.190812853743,0,0.0384205605335235,0.158470699534537,0,0.126736442845452,0,0.109149385497469,0.0473499962312617,0,0.0190679934758338,0,0.0152932309457969,0.032769655133479,0.13835888047226,0.11025848128551,0,0,0,0.0133118203018774,0,0
GSM831845_con,Control,0.0774277100263478,0,0.138421180779502,0.123390282972671,0,0.135436427175292,0,0.0681414065735159,0.002021633350882,0.11237000301092,0,0,0,0.0616440630678658,0.196187887760428,0.0736131159599183,0.0063839056236845,0,0,0.0049623836989719,0,0
GSM831847_con,Control,0.0687752884444832,0,0.0972900535249848,0.194732102971091,0,0,0,0.14118646500177,0.053371468981221,0.0140781780083442,0,0.0351966122961906,0.0183880413853146,0.0903142472486748,0.174410732426141,0.0363619920529182,0.0545445382055222,0,0.0213502794533439,0,0,0
GSM831848_con,Control,0.107866555395712,0,0.0954363871373343,0.166941105002578,0,0.0416717428390225,0.0264225090578111,0.0559513121629353,0.0070640320474219,0.0408293504166328,0,0,0,0.0947221468812349,0.239988511478236,0.052826128794523,0.0352411758376873,0,0.0350390429488719,0,0,0
GSM831762_tre,Tumor,0,0.0351286945184265,0.024899166025826,0.0024530491286781,0,0.162196176701926,0,0.0187372949986682,0.0001581112653373,0,0.0637291710494387,0,0.0380057604755657,0.194626328353104,0.0561526175754697,0.0981929712370234,0.137053906742257,0.066710750925986,0.0410580819271167,0,0,0.0608979190751764
GSM831764_tre,Tumor,0.0509113259588711,0,0.203542581930604,0.0984037731480516,0,0,0.0257506765290341,0.0623867889322602,0.0313649803943764,0.0193531506054637,0.0098591591425285,0.0048086759283863,0,0.181617412160103,0.165208726393665,0.0922637313801309,0.0125481993669864,0,0.0275492538079548,0,0,0.0144315643215845
GSM831765_tre,Tumor,0.100330149992294,0,0,0.0617541134148325,0,0.143245143959737,0,0.096254620822426,0.0084074169734746,0.0263323371706206,0,0.0394624789583001,0,0.113477021039531,0.0506891859790549,0.218051390646519,0.0690013881816677,0.0071929975180929,0.0552315029962037,0,0,0.0105702523472461
GSM831766_tre,Tumor,0.11125749320832,0,0.0723200638220515,0.0826514216401575,0,0.0131858349029303,0,0.139879312352708,0.051954139836665,0.0125432740809378,0.0226032192323823,0.0035827151980772,0,0.117949697837002,0.222476232762118,0.06192080650013,0.0559931873803688,0,0.029986829958951,0,0,0.0016957712872001
GSM831767_tre,Tumor,0.0988841269094841,0,0.0265477189459983,0.0849653903497357,0,0.0276111654282808,0.0890825475383161,0.0831596813419605,0.0199206525281656,0.0447624176575248,0.0406882003292769,0,0.0033103906598522,0.104963706807081,0.142757086375133,0.107460649639926,0.0791614246342894,0.0116661588670108,0.0255483381685051,0,0,0.0095103438194599
GSM831768_tre,Tumor,0.0021158030165751,0.0237392583163265,0.053520030441325,0.21653506936376,0,0.0480043020189395,0,0.152589251396103,0.0211382768223207,0,0.0023884731630491,0,0,0.146559304976451,0.108853347362688,0.155379545232487,0.0549197784401485,0.0089601567640573,0,0,0,0.0052974026857679
GSM831770_tre,Tumor,0.0122930323333365,0,0.0774453430941102,0,0,0.0451364625627227,0,0.109824162457303,0.0190717802586798,0.0528059912996151,0,0,0.040992765062038,0.357180197486129,0.08096741755534,0.061670694618844,0.11407199395701,0.0081169885357745,0.0072175555423348,0,0,0.0132056152367616
GSM831771_tre,Tumor,0.0469967228491971,0,0.112225192007706,0.198456163645963,0,0.0514843234512394,0,0.0855203420774057,0.0201991907528137,0.0136411754122763,0,0.091398759080504,0,0.0264794058209611,0.148035592845035,0.148853590700544,0.0098816810230647,0,0,0.0321334190974656,0,0.0146944412358242
GSM831772_tre,Tumor,0.0634513030682213,0,0.0091127956996971,0.11531107029938,0,0.290171127523919,0,0.0411231183121223,0,0.0569591142223946,0,0.0021603820436081,0.0665950900559888,0,0.0327158871101644,0.180634156115668,0.0825413775667802,0.0303247832946618,0.0098478203261614,0,0,0.0190519743612336
GSM831773_tre,Tumor,0.0553887356196676,0,0.0897983927507226,0.266476935655099,0,0,0,0.13034684377546,0.0309185500894592,0.113746443583442,0,0.0329643219938856,0,0.0085692937101927,0.135927691352109,0.10338164350071,0.0144138804209239,0,0.006439888617302,0,0,0.0116273789310269
GSM831777_tre,Tumor,0.0471730045879662,0,0.054586343335942,0.074403438175773,0,0,0,0.0619788788244736,0.0610918486031745,0,0.0150666088907174,0,0,0.470542326935667,0.0519219482961951,0.0716068904488353,0.0771322247542322,0,0.0062570190253149,0,0,0.0082394681217083
GSM831781_tre,Tumor,0.032822917307753,0,0.0216678720824679,0.103729227578165,0,0.0828737894404248,0,0.065283619939291,0.0232925492259117,0.034193343281174,0,0,0,0.0662358386452012,0.0969344658018052,0.0597947257067295,0.33972578274885,0.0123435060348676,0.0517223729419451,0,0,0.0093799892654139
GSM831784_tre,Tumor,0.0767370210738156,0,0.141023034456845,0.158229677550998,0,0.0148058152840917,0,0.0894889694802188,0.0270757070433823,0.004382414457375,0.0482644408290142,0.0137506582671431,0,0.130797982962904,0.203054673480815,0.0477101167733059,0.0195935274272686,0,0.0250859609128228,0,0,0
GSM831785_tre,Tumor,0.102433767457009,0,0.0795558720645504,0.0992661180800305,0,0.0749154536846502,0,0.177927087511483,0.0045846863699265,0,0.0436085691401011,0.0092280248390147,0.0057005858502356,0.114030656345459,0.129919701563875,0.0672506575452227,0.0717053467592862,0,0.0119301915889237,0,0,0.0079432812002317
GSM831787_tre,Tumor,0.11620223392758,0,0.0930345038378179,0.0308336006827617,0,0.131432284781814,0,0.147376859495676,0,0.044488700462052,0.0126801932709749,0,0.0520010154873081,0.0466670523098288,0.169454787580418,0.0442785027047241,0.10012266399399,0,0.0114276014650545,0,0,0
GSM831788_tre,Tumor,0.0667814553555679,0,0.0421380510362734,0.270542067918742,0,0,0.033071972666684,0.0654072925106168,0.0243007129077763,0.124326133726015,0.0071806948844298,0,0,0.0987402372115642,0.169030995809725,0.0480247460562715,0.0270424132813419,0,0,0.0234132266349932,0,0
GSM831792_tre,Tumor,0,0.056910900632511,0.0443400165285671,0.127273112681807,0,0,0,0.111108716658843,0.0614773122881157,0,0.0337786310153709,0,0,0.348570653789255,0.0823774383638136,0.129834900983776,0,0,0,0.0043283170579406,0,0
GSM831794_tre,Tumor,0.030197467524789,0,0.126393683899336,0.119307684237773,0,0.075490964590072,0,0.152876209731422,0.01929875427368,0.0214039599944427,0,0.0710841183238553,0.0009017946557283,0.027359355255628,0.104012396025012,0.128221719806118,0.101437443922866,0.0072844362102058,0.0074222227483011,0,0,0.0073077888007718
GSM831795_tre,Tumor,0.273278943920053,0,0.0020311573793042,0.0589636419545763,0,0.087158327610971,0.0385021987771809,0.159277290978347,0.0208410904500804,0.0414138568666362,0,0,0.0040454935870933,0.095360206480709,0.133282499920001,0.0469498186188999,0.0020318638934944,0,0,0.0311409640712265,0.0057226454914274,0
GSM831796_tre,Tumor,0.139724563555864,0,0.0754845353987773,0.0562558424820245,0,0.10460414747312,0.0032413251371025,0.116176541480476,0.0045686949849593,0.117204570387108,0.0004078492706674,0,0,0.120358213495008,0.223833130576811,0.0018052661548204,0.0160491857776966,0,0.0072623438725621,0,0,0.0130237899530021
GSM831797_tre,Tumor,0,0.0385184214772065,0.0582241798321018,0.079701777424169,0,0.0731414754712727,0,0.0960801744866989,0.0325303149827672,0.0050698972259874,0.0164842731167391,0,0,0.256697686053583,0.173457792530838,0.116237576217367,0.0154422274178179,0,0,0.0353827124945759,0,0.003031491268876
GSM831799_tre,Tumor,0.0543075343490793,0,0.077476202117577,0.173706466383944,0,0,0.0005418525170709,0.080805211014228,0,0.10146103318166,0,0.0153837808039117,0,0.208975791510221,0.205999378728155,0.0630227025272464,0.0183200468669071,0,0,0,0,0
GSM831801_tre,Tumor,0,0.0526861691456536,0.0466530678235738,0.130593349817905,0,0.0741123890239048,0,0.0765665072454531,0.0249442927620037,0,0.0279755116469606,0.051319926800763,0,0.226689369910637,0.0406011560617761,0.120856786109319,0.0201531715971916,0.0169076193834574,0.0791789789255258,0,0,0.0107617037458749
GSM831803_tre,Tumor,0.028505806496038,0,0.079250092941302,0.277677371786922,0,0,0.0216685992781452,0.0581033070917859,0.01898852107856,0.0507425444736911,0,0.0442446506087352,0,0.134016585933284,0.154147232399663,0.0858538234728267,0.0148171918551491,0,0.0253915116147487,0,0,0.0065927609691482
GSM831804_tre,Tumor,0.0349930344377416,0,0.128772546155933,0.141423080752962,0,0.082791902322338,0,0.0856509027344895,0.096840453331369,0,0.0064598364654717,0.0256933560974396,0.0009459722877147,0.161803289493413,0.140954645795965,0.0731297946192082,0.0137117119285098,0,0.0014403341686198,0.0017759750209687,0,0.0036131643878562
GSM831806_tre,Tumor,0.0507825208250107,0,0.15917541368757,0.163359767629511,0,0,0.0432150279614373,0.0980392587210284,0.0131083781896304,0.0081391184089823,0.0285982931656947,0,0.0094351157697524,0.132019957299823,0.232413848463033,0.0009185008151734,0.0252178485989371,0,0.0355769504644165,0,0,0
GSM831807_tre,Tumor,0.0562946046161723,0,0.0891969312247116,0.094548558485959,0,0.0786739716136669,0,0.146660918247422,0,0.0551069298676516,0,0.0694558739113442,0,0.140340880693517,0.109376167224967,0.12075712787793,0,0.0098495622785884,0.0256797828057104,0,0,0.0040586911523592
