Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
KIAA1324,2,226248_s_at,-1.61747003,4.71e-13,1.56e-14,Down,Down,226248_s_at|221874_at
FAM19A5,1,229459_at,1.35095314,4.98e-13,1.66e-14,Up,Up,229459_at
C4orf46,1,235088_at,-1.05418236,5.2e-13,1.74e-14,Down,Down,235088_at
PROM1,1,204304_s_at,-2.6678506,5.27e-13,1.76e-14,Down,Down,204304_s_at
DLC1,1,220512_at,1.37086331,5.52e-13,1.85e-14,Up,Up,220512_at
SLC16A2,1,204462_s_at,-1.2634736,5.52e-13,1.86e-14,Down,Down,204462_s_at
SMIM10L2A,1,238697_at,1.76650984,5.65e-13,1.9e-14,Up,Up,238697_at
RSPO3,1,228186_s_at,-1.32002614,5.74e-13,1.93e-14,Down,Down,228186_s_at
LZTS1,1,47550_at,1.30406642,5.75e-13,1.94e-14,Up,Up,47550_at
ENPP1,3,229088_at,-1.49700799,5.84e-13,1.97e-14,Down,Down,229088_at|228952_at|205066_s_at
NEXN,1,226103_at,-1.28004821,6.19e-13,2.11e-14,Down,Down,226103_at
ACACB,2,43427_at,-1.03850802,6.41e-13,2.19e-14,Down,Down,43427_at|49452_at
PLAG1,1,205372_at,1.47659612,6.55e-13,2.24e-14,Up,Up,205372_at
CPM,3,235706_at,1.10091919,6.83e-13,2.35e-14,Up,Up,235706_at|235019_at|206100_at
COL15A1,1,203477_at,1.36150612,7.05e-13,2.44e-14,Up,Up,203477_at
MAP2,1,225540_at,1.26254143,7.09e-13,2.45e-14,Up,Up,225540_at
ATOH8,1,1558706_a_at,-1.52484485,7.15e-13,2.47e-14,Down,Down,1558706_a_at
BTBD11,2,228570_at,-1.40023487,7.36e-13,2.56e-14,Down,Down,228570_at|238692_at
ZDHHC11,1,221646_s_at,-1.07043109,7.46e-13,2.6e-14,Down,Down,221646_s_at
ZDHHC11B,1,221646_s_at,-1.07043109,7.46e-13,2.6e-14,Down,Down,221646_s_at
CCL28,1,224027_at,-1.31567612,7.57e-13,2.64e-14,Down,Down,224027_at
CAPSL,1,236085_at,-1.71224199,7.58e-13,2.65e-14,Down,Down,236085_at
SDC3,1,202898_at,1.02799067,7.87e-13,2.75e-14,Up,Up,202898_at
MOB3B,1,229568_at,-1.21312861,7.88e-13,2.76e-14,Down,Down,229568_at
DRAM1,1,218627_at,1.28171401,8.53e-13,3e-14,Up,Up,218627_at
CACNA1D,1,210108_at,-1.16781955,8.54e-13,3.01e-14,Down,Down,210108_at
ANKRD37,1,227337_at,-1.27302968,8.55e-13,3.02e-14,Down,Down,227337_at
DPYSL3,2,201430_s_at,1.26330424,9.3e-13,3.31e-14,Up,Up,201430_s_at|201431_s_at
MFAP2,1,203417_at,1.02540796,9.66e-13,3.44e-14,Up,Up,203417_at
WSB1,2,201294_s_at,1.15129473,9.74e-13,3.47e-14,Up,Up,201294_s_at|201295_s_at
SNX22,2,230509_at,1.20812948,9.76e-13,3.48e-14,Up,Up,230509_at|235460_at
COBL,1,1552496_a_at,-1.05368598,1e-12,3.59e-14,Down,Down,1552496_a_at
ABCC6,1,215559_at,1.03015423,1e-12,3.58e-14,Up,Up,215559_at
LOC101930322,1,215559_at,1.03015423,1e-12,3.58e-14,Up,Up,215559_at
GLUL,3,242281_at,-1.08507729,1.07e-12,3.85e-14,Down,Down,242281_at|200648_s_at|217202_s_at
CENPV,2,226610_at,-1.08258111,1.11e-12,4.01e-14,Down,Down,226610_at|226611_s_at
FXYD6,1,217897_at,-1.11743671,1.18e-12,4.29e-14,Down,Down,217897_at
LAMP5,1,219463_at,1.64624226,1.21e-12,4.41e-14,Up,Up,219463_at
SLC26A4,1,206529_x_at,-1.58543393,1.22e-12,4.47e-14,Down,Down,206529_x_at
ILF3-AS1,1,235014_at,-1.05005588,1.25e-12,4.56e-14,Down,Down,235014_at
GLDN,1,230360_at,2.18669455,1.37e-12,5.05e-14,Up,Up,230360_at
FAM84B,1,225864_at,1.03512569,1.38e-12,5.09e-14,Up,Up,225864_at
TMPRSS4,1,218960_at,1.60629558,1.43e-12,5.29e-14,Up,Up,218960_at
PCGF5,1,235331_x_at,-1.03505245,1.46e-12,5.44e-14,Down,Down,235331_x_at
HCG4,1,206685_at,-1.13817182,1.54e-12,5.76e-14,Down,Down,206685_at
DOCK9,1,232874_at,1.58154193,1.64e-12,6.14e-14,Up,Up,232874_at
NT5E,2,203939_at,1.40146282,1.65e-12,6.19e-14,Up,Up,203939_at|1553994_at
PAIP2B,1,221868_at,-1.00035343,1.65e-12,6.2e-14,Down,Down,221868_at
BLACAT1,1,232105_at,1.01917269,1.71e-12,6.43e-14,Up,Up,232105_at
SYTL2,1,225496_s_at,1.07249813,1.79e-12,6.78e-14,Up,Up,225496_s_at
COL9A3,1,204724_s_at,-2.66175777,1.91e-12,7.24e-14,Down,Down,204724_s_at
LTBP1,1,202729_s_at,1.61310243,1.91e-12,7.26e-14,Up,Up,202729_s_at
ANKRD18A,1,244297_at,-1.27632541,1.93e-12,7.35e-14,Down,Down,244297_at
AIM1,1,212543_at,1.1037709,1.97e-12,7.55e-14,Up,Up,212543_at
TEAD4,1,41037_at,-1.04060763,1.98e-12,7.59e-14,Down,Down,41037_at
TMEM255A,1,219895_at,2.85094767,2.07e-12,7.96e-14,Up,Up,219895_at
ST8SIA4,3,230836_at,1.67449555,2.09e-12,8.07e-14,Up,Up,230836_at|230261_at|242943_at
PBX3,1,204082_at,1.2014499,2.13e-12,8.21e-14,Up,Up,204082_at
SLC47A1,1,219525_at,1.03778583,2.14e-12,8.28e-14,Up,Up,219525_at
BAZ1A,1,217986_s_at,1.0513614,2.19e-12,8.49e-14,Up,Up,217986_s_at
CCDC110,1,230900_at,-1.17414809,2.2e-12,8.55e-14,Down,Down,230900_at
SELENBP1,1,214433_s_at,-1.06393117,2.2e-12,8.52e-14,Down,Down,214433_s_at
FAM189A2,1,213900_at,-1.05072412,2.22e-12,8.6e-14,Down,Down,213900_at
MEOX2,1,206201_s_at,-1.33349692,2.27e-12,8.87e-14,Down,Down,206201_s_at
HS6ST2,3,230030_at,3.67691357,2.32e-12,9.06e-14,Up,Up,230030_at|1552767_a_at|1552766_at
PTPRG,3,204944_at,1.42423948,2.6e-12,1.03e-13,Up,Up,204944_at|227126_at|1569323_at
CYFIP2,2,215785_s_at,1.2441679,2.64e-12,1.05e-13,Up,Up,215785_s_at|220999_s_at
HPCAL4,1,219671_at,1.61592445,2.66e-12,1.05e-13,Up,Up,219671_at
GRHL3,1,232116_at,1.00567447,2.81e-12,1.11e-13,Up,Up,232116_at
TXNL1,1,235561_at,-1.42147091,2.89e-12,1.15e-13,Down,Down,235561_at
PCSK1N,1,218952_at,1.70773336,2.92e-12,1.17e-13,Up,Up,218952_at
FTCDNL1,1,1556667_at,-1.28864553,2.95e-12,1.18e-13,Down,Down,1556667_at
PRSS2,2,205402_x_at,2.95947939,3e-12,1.2e-13,Up,Up,205402_x_at|216470_x_at
NEB,1,205054_at,-2.40943221,3.06e-12,1.23e-13,Down,Down,205054_at
CLIC3,1,219529_at,-1.26651063,3.09e-12,1.24e-13,Down,Down,219529_at
FOXQ1,1,227475_at,1.78201228,3.22e-12,1.3e-13,Up,Up,227475_at
B3GALT2,1,217452_s_at,-1.11897979,3.4e-12,1.37e-13,Down,Down,217452_s_at
PDZRN4,1,220595_at,3.10003302,3.41e-12,1.38e-13,Up,Up,220595_at
COL8A2,2,221900_at,1.72100082,3.55e-12,1.44e-13,Up,Up,221900_at|52651_at
PRR15L,1,219127_at,-1.28071407,3.69e-12,1.51e-13,Down,Down,219127_at
PDE10A,1,205501_at,-1.440568,3.99e-12,1.64e-13,Down,Down,205501_at
CHST11,1,226372_at,1.14657467,4.1e-12,1.68e-13,Up,Up,226372_at
PLAUR,3,210845_s_at,1.65791054,4.11e-12,1.69e-13,Up,Up,210845_s_at|211924_s_at|214866_at
LOC101929340,1,233527_at,-1.31173398,4.48e-12,1.86e-13,Down,Down,233527_at
TRIB2,1,202478_at,1.01868689,4.67e-12,1.94e-13,Up,Up,202478_at
ESRRG,1,207981_s_at,-1.49874696,4.74e-12,1.98e-13,Down,Down,207981_s_at
IGFBP6,1,203851_at,1.72324115,4.93e-12,2.07e-13,Up,Up,203851_at
EPHA4,4,206114_at,1.32037915,4.93e-12,2.06e-13,Up,Up,206114_at|227449_at|229374_at|228948_at
PRDM11,1,229687_s_at,-1.12884044,5.01e-12,2.1e-13,Down,Down,229687_s_at
LONRF2,2,235977_at,1.67901182,5.09e-12,2.14e-13,Up,Up,235977_at|225996_at
CCDC126,1,228061_at,-1.01457009,5.14e-12,2.17e-13,Down,Down,228061_at
S100A4,1,203186_s_at,1.31889627,5.96e-12,2.54e-13,Up,Up,203186_s_at
ATF7IP2,1,228381_at,-1.05461115,6.01e-12,2.57e-13,Down,Down,228381_at
TNC,1,201645_at,2.82004592,6.07e-12,2.6e-13,Up,Up,201645_at
SAMD5,1,228653_at,-1.5105846,6.07e-12,2.6e-13,Down,Down,228653_at
PGF,1,209652_s_at,-1.35800601,6.07e-12,2.6e-13,Down,Down,209652_s_at
TNFRSF11A,1,238846_at,-1.21961119,6.16e-12,2.64e-13,Down,Down,238846_at
SLPI,1,203021_at,2.08967602,6.58e-12,2.83e-13,Up,Up,203021_at
NAP1L5,1,228062_at,-1.01618802,6.71e-12,2.9e-13,Down,Down,228062_at
GNB4,1,225710_at,1.21621349,6.78e-12,2.93e-13,Up,Up,225710_at
CA12,5,203963_at,2.54847323,6.83e-12,2.96e-13,Up,Up,203963_at|215867_x_at|214164_x_at|204508_s_at|210735_s_at
SDK1,1,229912_at,1.62156789,7.17e-12,3.12e-13,Up,Up,229912_at
LOC101929465,1,241337_at,1.32468298,7.32e-12,3.19e-13,Up,Up,241337_at
IQCJ-SCHIP1,1,204030_s_at,1.03890939,7.79e-12,3.41e-13,Up,Up,204030_s_at
SCHIP1,1,204030_s_at,1.03890939,7.79e-12,3.41e-13,Up,Up,204030_s_at
SLC24A3,2,219090_at,-1.15552152,8.02e-12,3.52e-13,Down,Down,219090_at|57588_at
LOC643733,1,240890_at,-1.09396537,8.49e-12,3.74e-13,Down,Down,240890_at
MAFB,1,218559_s_at,-1.17788458,8.59e-12,3.8e-13,Down,Down,218559_s_at
MIR181A2HG,1,232478_at,1.31504255,9.04e-12,4.01e-13,Up,Up,232478_at
ADAP2,1,222876_s_at,1.00569859,9.13e-12,4.05e-13,Up,Up,222876_s_at
EGFEM1P,1,1558411_at,1.26182307,9.68e-12,4.31e-13,Up,Up,1558411_at
KIAA1462,1,213316_at,1.15689835,9.72e-12,4.33e-13,Up,Up,213316_at
DMD,1,203881_s_at,1.58754423,1.01e-11,4.5e-13,Up,Up,203881_s_at
FRMD5,1,230831_at,1.96624027,1.04e-11,4.64e-13,Up,Up,230831_at
TMEM100,1,219230_at,2.32458282,1.07e-11,4.78e-13,Up,Up,219230_at
BLOC1S1-RDH5,1,210106_at,1.18183471,1.09e-11,4.9e-13,Up,Up,210106_at
RDH5,1,210106_at,1.18183471,1.09e-11,4.9e-13,Up,Up,210106_at
TRIM22,1,213293_s_at,1.60161278,1.17e-11,5.28e-13,Up,Up,213293_s_at
PKIA,2,226864_at,-1.28008079,1.26e-11,5.71e-13,Down,Down,226864_at|204612_at
ADGRE5,1,202910_s_at,1.11979729,1.31e-11,6e-13,Up,Up,202910_s_at
PPM1L,2,228457_at,-1.0461051,1.33e-11,6.06e-13,Down,Down,228457_at|228108_at
LINC00511,1,227452_at,1.24888436,1.5e-11,6.89e-13,Up,Up,227452_at
LINC00673,1,227452_at,1.24888436,1.5e-11,6.89e-13,Up,Up,227452_at
LRRC2,2,219949_at,-1.22792033,1.54e-11,7.08e-13,Down,Down,219949_at|231781_s_at
RASGRF1,1,210550_s_at,1.13545136,1.57e-11,7.26e-13,Up,Up,210550_s_at
DUSP5,1,209457_at,1.56825053,1.6e-11,7.42e-13,Up,Up,209457_at
MBNL2,1,205018_s_at,-1.1800563,1.63e-11,7.57e-13,Down,Down,205018_s_at
RUNDC3A-AS1,1,1557644_at,1.05772891,1.71e-11,7.94e-13,Up,Up,1557644_at
ZNF658,1,231950_at,-1.12930145,1.72e-11,8.02e-13,Down,Down,231950_at
USP3-AS1,1,1562738_a_at,-1.06855066,1.72e-11,8e-13,Down,Down,1562738_a_at
IQGAP2,1,203474_at,-1.34109011,1.94e-11,9.14e-13,Down,Down,203474_at
DIRAS3,1,215506_s_at,1.61311437,2e-11,9.47e-13,Up,Up,215506_s_at
HSP90B1,1,200598_s_at,-1.00717696,2.08e-11,9.87e-13,Down,Down,200598_s_at
MIR3652,1,200598_s_at,-1.00717696,2.08e-11,9.87e-13,Down,Down,200598_s_at
TGFBI,1,201506_at,1.48459075,2.22e-11,1.06e-12,Up,Up,201506_at
IRS1,2,204686_at,-1.17387531,2.3e-11,1.1e-12,Down,Down,204686_at|242979_at
UNC5CL,1,231008_at,1.064104,2.37e-11,1.13e-12,Up,Up,231008_at
MMP16,2,223614_at,1.8524633,2.46e-11,1.18e-12,Up,Up,223614_at|207012_at
ALOX5,3,204446_s_at,2.94074248,2.48e-11,1.2e-12,Up,Up,204446_s_at|204445_s_at|214366_s_at
ZNF396,1,1555166_a_at,-1.03688338,2.59e-11,1.25e-12,Down,Down,1555166_a_at
MREG,1,219648_at,1.0643839,2.74e-11,1.33e-12,Up,Up,219648_at
CTTNBP2,1,232136_s_at,-1.23088931,2.84e-11,1.38e-12,Down,Down,232136_s_at
C1orf186,1,222281_s_at,1.33902522,3.35e-11,1.66e-12,Up,Up,222281_s_at
LOC100505650,1,222281_s_at,1.33902522,3.35e-11,1.66e-12,Up,Up,222281_s_at
LOC101929219,1,222281_s_at,1.33902522,3.35e-11,1.66e-12,Up,Up,222281_s_at
CXCL14,2,218002_s_at,2.84958531,3.58e-11,1.78e-12,Up,Up,218002_s_at|222484_s_at
MAMDC2,1,228885_at,-1.50104292,3.82e-11,1.91e-12,Down,Down,228885_at
TMEM178A,1,229302_at,-1.24184958,3.83e-11,1.92e-12,Down,Down,229302_at
SEPP1,1,229620_at,-1.17675685,3.86e-11,1.94e-12,Down,Down,229620_at
NDRG2,1,214279_s_at,-1.11806744,3.9e-11,1.96e-12,Down,Down,214279_s_at
LOC400794,1,1557761_s_at,1.21942225,3.96e-11,1.99e-12,Up,Up,1557761_s_at
KY,1,244572_at,-1.41761491,4.19e-11,2.12e-12,Down,Down,244572_at
SGK223,1,235085_at,-1.19278583,4.19e-11,2.12e-12,Down,Down,235085_at
TCFL5,1,235694_at,-1.10538028,4.36e-11,2.22e-12,Down,Down,235694_at
GPAT3,1,224480_s_at,-1.07857529,4.4e-11,2.24e-12,Down,Down,224480_s_at
FBLN2,1,203886_s_at,-1.00760868,4.54e-11,2.31e-12,Down,Down,203886_s_at
PCSK5,3,205559_s_at,1.44322988,4.6e-11,2.35e-12,Up,Up,205559_s_at|205560_at|213652_at
SFTPB,4,209810_at,3.0114669,4.64e-11,2.37e-12,Up,Up,209810_at|37004_at|213936_x_at|214354_x_at
TMEM154,1,238063_at,1.42714893,4.76e-11,2.44e-12,Up,Up,238063_at
SHISA6,1,229266_at,2.0005713,4.85e-11,2.49e-12,Up,Up,229266_at
GNAI1,2,227692_at,-1.20718771,4.86e-11,2.5e-12,Down,Down,227692_at|209576_at
SULT1C2,2,205342_s_at,-1.0876469,4.96e-11,2.56e-12,Down,Down,205342_s_at|211470_s_at
HIST3H2A,1,221582_at,1.0498486,5e-11,2.58e-12,Up,Up,221582_at
LOC102724312,1,243021_at,1.18329519,5.05e-11,2.61e-12,Up,Up,243021_at
ARHGAP36,1,238047_at,4.32211615,5.17e-11,2.67e-12,Up,Up,238047_at
RUNDC3B,1,241703_at,1.08576297,5.23e-11,2.71e-12,Up,Up,241703_at
BEAN1,1,214068_at,1.13462427,5.3e-11,2.75e-12,Up,Up,214068_at
CPNE4,1,228796_at,1.80767397,5.55e-11,2.88e-12,Up,Up,228796_at
LOC101928303,1,1557776_at,-1.09911729,5.64e-11,2.94e-12,Down,Down,1557776_at
ESM1,1,208394_x_at,1.32485762,5.68e-11,2.96e-12,Up,Up,208394_x_at
CRLF1,1,206315_at,2.10195563,5.69e-11,2.97e-12,Up,Up,206315_at
PLEKHH1,1,225727_at,-1.05057857,5.73e-11,2.99e-12,Down,Down,225727_at
MT1G,1,204745_x_at,-1.42355605,5.92e-11,3.09e-12,Down,Down,204745_x_at
AP1S3,2,1555733_s_at,-1.41893684,6.03e-11,3.16e-12,Down,Down,1555733_s_at|1555731_a_at
LINC00152,1,225799_at,1.07936007,6.04e-11,3.17e-12,Up,Up,225799_at
LOC101930489,1,225799_at,1.07936007,6.04e-11,3.17e-12,Up,Up,225799_at
MIR4435-2HG,1,225799_at,1.07936007,6.04e-11,3.17e-12,Up,Up,225799_at
YME1L1,2,213830_at,2.54819785,6.3e-11,3.32e-12,Up,Up,213830_at|217143_s_at
PAX8,2,214528_s_at,-1.25424875,6.4e-11,3.37e-12,Down,Down,214528_s_at|207924_x_at
TREM1,1,219434_at,1.88585542,6.88e-11,3.64e-12,Up,Up,219434_at
TLR2,1,204924_at,1.25062107,7.8e-11,4.18e-12,Up,Up,204924_at
ZNF366,1,1556314_a_at,1.0230616,7.91e-11,4.24e-12,Up,Up,1556314_a_at
APOD,1,201525_at,-1.74156952,7.99e-11,4.29e-12,Down,Down,201525_at
RHOJ,1,235489_at,-1.06359206,8.14e-11,4.37e-12,Down,Down,235489_at
FAM230B,1,233338_at,1.97941623,8.97e-11,4.85e-12,Up,Up,233338_at
FAM230C,1,233338_at,1.97941623,8.97e-11,4.85e-12,Up,Up,233338_at
LOC729461,1,233338_at,1.97941623,8.97e-11,4.85e-12,Up,Up,233338_at
G0S2,1,213524_s_at,1.94235084,9.01e-11,4.87e-12,Up,Up,213524_s_at
FREM2,1,230964_at,-1.31565998,9.17e-11,4.97e-12,Down,Down,230964_at
JUN,2,201466_s_at,-1.3798606,9.36e-11,5.09e-12,Down,Down,201466_s_at|201465_s_at
DAPL1,1,229290_at,1.65758084,9.37e-11,5.1e-12,Up,Up,229290_at
TGM2,1,201042_at,1.50162264,9.93e-11,5.42e-12,Up,Up,201042_at
COL10A1,2,205941_s_at,1.58350909,1.02e-10,5.56e-12,Up,Up,205941_s_at|217428_s_at
CLDN8,1,214598_at,-1.47258061,1.06e-10,5.82e-12,Down,Down,214598_at
TSPAN7,1,202242_at,-1.37986797,1.06e-10,5.79e-12,Down,Down,202242_at
ACSL5,2,218322_s_at,1.23589226,1.09e-10,6.01e-12,Up,Up,218322_s_at|222592_s_at
LOC100505501,1,235171_at,-1.09953194,1.09e-10,6.02e-12,Down,Down,235171_at
PXYLP1,1,226925_at,1.04888249,1.27e-10,7.09e-12,Up,Up,226925_at
KRT15,1,204734_at,1.01417437,1.32e-10,7.36e-12,Up,Up,204734_at
HSPA5,1,230031_at,-1.00410549,1.33e-10,7.41e-12,Down,Down,230031_at
C12orf49,1,1558757_at,1.08219763,1.34e-10,7.52e-12,Up,Up,1558757_at
PMAIP1,2,204285_s_at,1.95368212,1.39e-10,7.82e-12,Up,Up,204285_s_at|204286_s_at
PCP4,1,205549_at,-1.3989292,1.46e-10,8.24e-12,Down,Down,205549_at
ARMCX3,1,222444_at,1.02751453,1.52e-10,8.62e-12,Up,Up,222444_at
BBOX1,1,205363_at,-1.35932829,1.62e-10,9.24e-12,Down,Down,205363_at
CD55,3,1555950_a_at,1.248533,1.63e-10,9.27e-12,Up,Up,1555950_a_at|201926_s_at|201925_s_at
TSLP,1,235737_at,-1.23339657,1.64e-10,9.39e-12,Down,Down,235737_at
SLCO4A1,1,219911_s_at,1.004298,1.67e-10,9.53e-12,Up,Up,219911_s_at
ABCC4,1,203196_at,-1.0864175,1.77e-10,1.01e-11,Down,Down,203196_at
VSTM4,1,235471_at,1.11856461,1.79e-10,1.03e-11,Up,Up,235471_at
MT1H,1,206461_x_at,-1.12925633,1.84e-10,1.06e-11,Down,Down,206461_x_at
MAN1A1,1,208116_s_at,-1.13380947,1.9e-10,1.1e-11,Down,Down,208116_s_at
BLNK,1,207655_s_at,1.0460453,1.9e-10,1.1e-11,Up,Up,207655_s_at
PASK,3,206594_at,2.03753421,2e-10,1.16e-11,Up,Up,206594_at|216945_x_at|213534_s_at
SCGB2A1,1,205979_at,-1.92239873,2.04e-10,1.18e-11,Down,Down,205979_at
LY6E,1,202145_at,1.10757401,2.09e-10,1.21e-11,Up,Up,202145_at
GJA5,1,226701_at,1.01401194,2.19e-10,1.28e-11,Up,Up,226701_at
RCAN1,2,208370_s_at,-1.23388585,2.34e-10,1.38e-11,Down,Down,208370_s_at|215253_s_at
CENPJ,1,223513_at,-1.13531263,2.48e-10,1.47e-11,Down,Down,223513_at
FOLR1,1,204437_s_at,-1.44950169,2.51e-10,1.49e-11,Down,Down,204437_s_at
SGPP2,3,226560_at,-1.45271345,2.56e-10,1.53e-11,Down,Down,226560_at|238567_at|244780_at
PLA2G12B,1,231009_at,1.1092916,2.73e-10,1.63e-11,Up,Up,231009_at
ITGB6,1,226535_at,1.39972371,2.77e-10,1.66e-11,Up,Up,226535_at
LOC100505984,1,226535_at,1.39972371,2.77e-10,1.66e-11,Up,Up,226535_at
IGF2,1,202409_at,-1.20320586,2.79e-10,1.68e-11,Down,Down,202409_at
INS-IGF2,1,202409_at,-1.20320586,2.79e-10,1.68e-11,Down,Down,202409_at
LOC101928307,1,1558795_at,1.56894956,2.82e-10,1.69e-11,Up,Up,1558795_at
TYMS,2,202589_at,1.79915677,2.83e-10,1.7e-11,Up,Up,202589_at|1554696_s_at
MICAL2,1,212473_s_at,1.05336852,2.96e-10,1.79e-11,Up,Up,212473_s_at
CDKN2C,1,204159_at,1.13518307,2.99e-10,1.8e-11,Up,Up,204159_at
FGL2,2,227265_at,-1.30044096,3.05e-10,1.84e-11,Down,Down,227265_at|204834_at
CNTN3,1,229831_at,-1.50774879,3.21e-10,1.96e-11,Down,Down,229831_at
PRKAA2,1,238441_at,-1.00097822,3.4e-10,2.08e-11,Down,Down,238441_at
C3orf52,1,219474_at,-1.46814493,3.41e-10,2.08e-11,Down,Down,219474_at
CBLN1,1,205747_at,1.88567042,3.56e-10,2.18e-11,Up,Up,205747_at
CHPT1,1,1559739_at,1.51930811,3.75e-10,2.31e-11,Up,Up,1559739_at
NID1,1,202007_at,1.02178855,3.8e-10,2.35e-11,Up,Up,202007_at
C16orf89,1,229177_at,-1.07324544,3.96e-10,2.45e-11,Down,Down,229177_at
TOB1,1,228834_at,-1.23431062,4.03e-10,2.5e-11,Down,Down,228834_at
HNRNPD,1,213359_at,1.13460286,4.05e-10,2.51e-11,Up,Up,213359_at
LOC646762,1,1568597_at,1.03326216,4.2e-10,2.62e-11,Up,Up,1568597_at
EDN3,1,208399_s_at,-2.41626028,4.67e-10,2.93e-11,Down,Down,208399_s_at
CA2,1,209301_at,1.43141543,4.89e-10,3.08e-11,Up,Up,209301_at
FABP4,1,203980_at,-2.00548879,4.91e-10,3.1e-11,Down,Down,203980_at
KLK10,1,209792_s_at,2.28358237,5.14e-10,3.26e-11,Up,Up,209792_s_at
IFI27,1,202411_at,1.11161426,5.47e-10,3.49e-11,Up,Up,202411_at
GNAL,2,214071_at,-1.19828804,6.45e-10,4.17e-11,Down,Down,214071_at|206355_at
TRDV3,1,216191_s_at,3.02638387,6.83e-10,4.43e-11,Up,Up,216191_s_at
PDZD2,1,209493_at,1.02452681,6.97e-10,4.53e-11,Up,Up,209493_at
SOSTDC1,1,213456_at,-1.19750781,7.2e-10,4.7e-11,Down,Down,213456_at
TRIM58,1,215047_at,-1.23369737,8.3e-10,5.46e-11,Down,Down,215047_at
NUDT16,1,228341_at,-1.01992387,9.05e-10,6e-11,Down,Down,228341_at
CST6,1,206595_at,1.69444935,9.12e-10,6.06e-11,Up,Up,206595_at
CASC1,1,220168_at,-1.07211733,9.58e-10,6.38e-11,Down,Down,220168_at
SLFN5,2,238430_x_at,1.04618387,9.73e-10,6.49e-11,Up,Up,238430_x_at|230383_x_at
LURAP1L,1,227443_at,1.00030006,1.03e-9,6.89e-11,Up,Up,227443_at
SLC26A4-AS1,1,1557107_at,-1.99510025,1.04e-9,6.94e-11,Down,Down,1557107_at
SNHG19,1,228049_x_at,-1.08661251,1.06e-9,7.08e-11,Down,Down,228049_x_at
GOLGA8A,1,208798_x_at,1.04762772,1.11e-9,7.49e-11,Up,Up,208798_x_at
LINC01314,1,215126_at,1.42254246,1.12e-9,7.54e-11,Up,Up,215126_at
TMPRSS3,1,220177_s_at,-1.1110274,1.15e-9,7.75e-11,Down,Down,220177_s_at
TMEM200A,1,234994_at,1.44406342,1.17e-9,7.9e-11,Up,Up,234994_at
SERGEF,2,232983_s_at,1.0044808,1.19e-9,8.09e-11,Up,Up,232983_s_at|220482_s_at
SIGLEC15,1,215856_at,1.42884223,1.2e-9,8.12e-11,Up,Up,215856_at
USP18,1,219211_at,1.54526478,1.3e-9,8.87e-11,Up,Up,219211_at
THBS1,2,201110_s_at,1.77234206,1.47e-9,1.02e-10,Up,Up,201110_s_at|201109_s_at
MT1X,1,208581_x_at,-1.0324981,1.47e-9,1.01e-10,Down,Down,208581_x_at
C1orf106,1,219010_at,1.35732652,1.6e-9,1.11e-10,Up,Up,219010_at
TP63,1,209863_s_at,1.12916535,1.69e-9,1.18e-10,Up,Up,209863_s_at
BCAT1,2,226517_at,1.72710442,1.77e-9,1.24e-10,Up,Up,226517_at|225285_at
CREM,1,228092_at,-1.00258031,1.77e-9,1.24e-10,Down,Down,228092_at
MXRA7,1,235836_at,1.00436447,1.89e-9,1.32e-10,Up,Up,235836_at
ROR1,1,232060_at,1.16996696,1.94e-9,1.36e-10,Up,Up,232060_at
MFAP5,3,213765_at,-1.51404644,2.01e-9,1.42e-10,Down,Down,213765_at|213764_s_at|209758_s_at
IYD,1,231070_at,-1.25774401,2.1e-9,1.49e-10,Down,Down,231070_at
ANXA9,1,211712_s_at,-1.11713952,2.1e-9,1.49e-10,Down,Down,211712_s_at
CXCL8,1,202859_x_at,2.00961337,2.22e-9,1.58e-10,Up,Up,202859_x_at
TCEAL7,1,227705_at,-1.16139121,2.51e-9,1.81e-10,Down,Down,227705_at
EPPK1,2,232165_at,1.1777276,2.63e-9,1.9e-10,Up,Up,232165_at|232164_s_at
DPY19L2,1,230158_at,-1.12414165,2.64e-9,1.91e-10,Down,Down,230158_at
CYR61,2,210764_s_at,-1.54265025,2.89e-9,2.11e-10,Down,Down,210764_s_at|201289_at
GOLM1,1,217771_at,-1.10844277,2.91e-9,2.13e-10,Down,Down,217771_at
F2RL2,1,230147_at,1.00243104,3.53e-9,2.62e-10,Up,Up,230147_at
ITGB4,1,204990_s_at,1.0409592,3.9e-9,2.92e-10,Up,Up,204990_s_at
COL1A1,2,202311_s_at,1.85314193,3.92e-9,2.94e-10,Up,Up,202311_s_at|202310_s_at
KRT14,1,209351_at,1.17848571,3.94e-9,2.96e-10,Up,Up,209351_at
ZFP36L2,1,201367_s_at,-1.14351818,3.98e-9,2.99e-10,Down,Down,201367_s_at
CXCL2,1,209774_x_at,2.10140562,4.47e-9,3.4e-10,Up,Up,209774_x_at
CCDC88C,1,227228_s_at,1.08632877,4.67e-9,3.56e-10,Up,Up,227228_s_at
CTSS,3,232617_at,1.42896044,5.64e-9,4.38e-10,Up,Up,232617_at|202901_x_at|202902_s_at
FAM3B,1,227194_at,-1.55245262,5.69e-9,4.43e-10,Down,Down,227194_at
LRRC15,1,213909_at,-1.22967912,6.03e-9,4.72e-10,Down,Down,213909_at
MACC1,1,232151_at,1.17700988,6.2e-9,4.86e-10,Up,Up,232151_at
