Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
KCNK5,1,219615_s_at,1.17112886,1.3e-15,2.44e-17,Up,Up,219615_s_at
KIAA2022,1,244370_at,-1.55558024,1.33e-15,2.49e-17,Down,Down,244370_at
SPATA17,1,230763_at,-1.32606055,1.46e-15,2.75e-17,Down,Down,230763_at
CHI3L1,2,209395_at,4.66086621,1.51e-15,2.86e-17,Up,Up,209395_at|209396_s_at
MIOX,1,224179_s_at,-1.56562995,1.53e-15,2.9e-17,Down,Down,224179_s_at
SSFA2,1,229744_at,-1.02149594,1.55e-15,2.94e-17,Down,Down,229744_at
OSR1,1,228399_at,-1.03256379,1.63e-15,3.09e-17,Down,Down,228399_at
TIAM2,1,222942_s_at,-1.26245401,1.66e-15,3.16e-17,Down,Down,222942_s_at
ADAM22,1,213411_at,-1.47976966,1.67e-15,3.18e-17,Down,Down,213411_at
SNX25,2,227408_s_at,1.41456137,1.71e-15,3.27e-17,Up,Up,227408_s_at|1555388_s_at
HMGCR,2,202540_s_at,-1.0919688,1.72e-15,3.31e-17,Down,Down,202540_s_at|202539_s_at
ARHGAP6,1,206167_s_at,-1.13216582,1.78e-15,3.42e-17,Down,Down,206167_s_at
ACTN1,2,208636_at,1.02447039,1.81e-15,3.49e-17,Up,Up,208636_at|208637_x_at
CHKB-CPT1B,1,210069_at,1.07057727,1.83e-15,3.53e-17,Up,Up,210069_at
CPT1B,1,210069_at,1.07057727,1.83e-15,3.53e-17,Up,Up,210069_at
SOX5,1,238009_at,-1.09349799,1.89e-15,3.67e-17,Down,Down,238009_at
GJB6,1,231771_at,-2.44252757,1.98e-15,3.86e-17,Down,Down,231771_at
LOC283588,1,1557113_at,-1.07352204,2.01e-15,3.93e-17,Down,Down,1557113_at
UNC5B,1,226899_at,1.35647066,2.06e-15,4.04e-17,Up,Up,226899_at
CLMN,1,213839_at,-1.50184706,2.07e-15,4.06e-17,Down,Down,213839_at
TSHZ3,2,223393_s_at,-1.32288932,2.12e-15,4.19e-17,Down,Down,223393_s_at|223392_s_at
PGA3,1,213265_at,-1.48303223,2.23e-15,4.4e-17,Down,Down,213265_at
PGA4,1,213265_at,-1.48303223,2.23e-15,4.4e-17,Down,Down,213265_at
PGA5,1,213265_at,-1.48303223,2.23e-15,4.4e-17,Down,Down,213265_at
PRKCQ-AS1,1,232001_at,-1.1139096,2.23e-15,4.4e-17,Down,Down,232001_at
SYNE1,2,244070_at,-1.25565892,2.54e-15,5.05e-17,Down,Down,244070_at|209447_at
CLUL1,1,206556_at,-1.40650789,2.58e-15,5.15e-17,Down,Down,206556_at
MECOM,2,221884_at,1.63619173,2.61e-15,5.22e-17,Up,Up,221884_at|226420_at
MIB2,1,226644_at,-1.18837522,2.64e-15,5.28e-17,Down,Down,226644_at
TPD52L1,2,203786_s_at,1.13366889,2.65e-15,5.3e-17,Up,Up,203786_s_at|210372_s_at
PLA2G7,1,206214_at,-1.65217961,2.67e-15,5.36e-17,Down,Down,206214_at
TSC22D1,2,215111_s_at,1.21142675,2.75e-15,5.55e-17,Up,Up,215111_s_at|239123_at
