Dataset,Control_n,Tumor_n,Gene,P_Value,Mean_Con,Mean_Treat,AUC,AUC_Lower_CI,AUC_Upper_CI,Direction_in_tumor
GSE33630,45,49,BCL2,7.70960013968465e-24,7.01399113333333,6.28968963265306,0.96281179138322,0.921984126984127,0.994104308390023,Down
GSE33630,45,49,BAX,1.6142862139109702e-17,6.53428482222222,7.46887885714286,0.941496598639456,0.88843537414966,0.985034013605442,Up
GSE33630,45,49,FN1,8.70338329261556e-22,7.83369173333333,10.3637503265306,0.965079365079365,0.91608843537415,0.996371882086168,Up
GSE60542,30,33,BAX,4.36332736519038e-10,5.52981363333333,6.47857909090909,0.907070707070707,0.82020202020202,0.971717171717172,Up
GSE60542,30,33,BCL2,7.88951682197614e-13,6.63219593333333,5.93759981818182,0.942424242424242,0.857550505050505,1,Down
GSE60542,30,33,FN1,8.54441346248226e-18,7.72297856666667,10.8635784848485,0.954545454545455,0.885833333333333,0.997979797979798,Up
