ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,neg_log10_adjP,DEG_status
205612_at,4.5499999999999995e-34,8.33e-39,-21.8706462,77.6229137,-4.24937696,MMRN1,multimerin 1,33.3419886033429,Down
219059_s_at,2.95e-30,1.27e-34,-19.3159007,68.2080863,-3.33827134,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,29.5301779840218,Down
244825_at,2.95e-30,1.6199999999999998e-34,19.2543744,67.9713549,2.07690004,SHROOM4,shroom family member 4,29.5301779840218,Up
220037_s_at,1.07e-28,7.81e-33,-18.2826594,64.1681426,-3.47753983,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,27.9706162223148,Down
208025_s_at,3.31e-28,3.35e-32,17.9252112,62.7383494,5.37560888,HMGA2,high mobility group AT-hook 2,27.4801720062243,Up
228585_at,3.31e-28,3.63e-32,17.9053041,62.6582302,3.55710743,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,27.4801720062243,Up
242344_at,3.92e-28,5.740000000000001e-32,17.7937024,62.2081135,5.96463384,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit,27.4067139329795,Up
207977_s_at,3.92e-28,5.24e-32,-17.8159503,62.2979748,-2.00952821,DPT,dermatopontin,27.4067139329795,Down
205728_at,6.48e-28,1.07e-31,17.6434524,61.5995413,4.6143558,TENM1,teneurin transmembrane protein 1,27.1884249941294,Up
214803_at,7.09e-28,1.4300000000000001e-31,17.5732547,61.3141977,3.13291361,CDH6,cadherin 6,27.1493537648169,Up
205083_at,1.4200000000000001e-27,3.13e-31,-17.3840165,60.5417461,-2.90856588,AOX1,aldehyde oxidase 1,26.8477116556169,Down
242496_at,2.0600000000000002e-27,4.89e-31,-17.2767383,60.1017549,-1.92298548,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),26.6861327796308,Down
200701_at,2.3800000000000002e-27,6.11e-31,17.2236765,59.8835677,1.62796108,NPC2,NPC intracellular cholesterol transporter 2,26.6234230429435,Up
235871_at,2.7000000000000002e-27,7.4e-31,17.1777612,59.6944669,2.09533977,LIPH,lipase H,26.568636235841,Up
209612_s_at,3.03e-27,8.87e-31,-17.1345426,59.5162186,-3.48992471,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",26.5185573714977,Down
207808_s_at,3.0900000000000003e-27,9.6e-31,17.1156252,59.4381192,2.63191263,PROS1,protein S (alpha),26.5100415205752,Up
219628_at,3.6300000000000006e-27,1.2000000000000001e-30,17.0635555,59.2229095,1.91138758,ZMAT3,zinc finger matrin-type 3,26.4400933749639,Up
209613_s_at,3.84e-27,1.3299999999999999e-30,-17.0375285,59.1152033,-3.77438958,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",26.4156687756325,Down
205923_at,5.490000000000001e-27,2.0099999999999997e-30,-16.9401837,58.7115744,-2.53990687,RELN,reelin,26.2604276555499,Down
205954_at,5.53e-27,2.12e-30,16.9270414,58.6569857,3.73007902,RXRG,retinoid X receptor gamma,26.2572748686953,Up
222921_s_at,9.56e-27,3.8499999999999996e-30,16.7866333,58.0723563,2.64432164,HEY2,hes related family bHLH transcription factor with YRPW motif 2,26.0195421077239,Up
212850_s_at,1.63e-26,7.07e-30,16.6433859,57.4732266,4.42930771,LRP4,LDL receptor related protein 4,25.787812395596,Up
214044_at,1.63e-26,7.27e-30,-16.6366807,57.4451157,-2.3714947,RYR2,ryanodine receptor 2,25.787812395596,Down
202071_at,1.63e-26,7.43e-30,16.6315768,57.4237146,2.27277218,SDC4,syndecan 4,25.787812395596,Up
205485_at,1.72e-26,8.17e-30,16.6094283,57.3308028,2.84911476,RYR1,ryanodine receptor 1,25.7644715530925,Up
202528_at,2.66e-26,1.31e-29,16.4980717,56.8626897,2.21664376,GALE,UDP-galactose-4-epimerase,25.5751183633689,Up
1556427_s_at,2.77e-26,1.42e-29,-16.4801997,56.7874085,-1.68587343,LRRN4CL,LRRN4 C-terminal like,25.5575202309356,Down
213071_at,3.39e-26,1.8e-29,-16.4245608,56.5527746,-2.78112473,DPT,dermatopontin,25.4698003017969,Down
202609_at,3.62e-26,1.9900000000000002e-29,16.4013181,56.4546374,1.89050393,EPS8,epidermal growth factor receptor pathway substrate 8,25.4412914294668,Up
227618_at,5.31e-26,3.01e-29,16.3046833,56.0458565,2.07752181,NHSL2,NHS like 2,25.2749054789185,Up
211343_s_at,5.48e-26,3.21e-29,16.2901032,55.9840737,2.83633091,COL13A1,collagen type XIII alpha 1 chain,25.2612194415156,Up
241898_at,5.49e-26,3.32e-29,16.2822002,55.9505731,2.39194109,LIPH,lipase H,25.2604276555499,Up
210664_s_at,6.49e-26,4.0400000000000003e-29,-16.2365273,55.7568068,-2.10779085,TFPI,tissue factor pathway inhibitor,25.1877553031996,Down
203780_at,6.75e-26,4.3200000000000004e-29,16.2208352,55.6901701,2.30171034,MPZL2,myelin protein zero like 2,25.170696227169,Up
243172_at,7.420000000000001e-26,4.8800000000000004e-29,16.1923489,55.5691202,2.18715095,,,25.129596094721,Up
206498_at,8.98e-26,6.08e-29,-16.1416896,55.3535844,-2.22722208,OCA2,OCA2 melanosomal transmembrane protein,25.0467236633327,Down
203256_at,1.28e-25,8.880000000000001e-29,16.0541142,54.9801908,2.77224397,CDH3,cadherin 3,24.8927900303521,Up
1557122_s_at,1.6699999999999999e-25,1.19e-28,15.986494,54.6911913,4.41594441,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit,24.7772835288524,Up
206517_at,1.95e-25,1.43e-28,-15.9446872,54.5122155,-2.93016427,CDH16,cadherin 16,24.7099653886375,Down
204105_s_at,2.02e-25,1.55e-28,15.9253647,54.4294179,2.39296678,NRCAM,neuronal cell adhesion molecule,24.6946486305534,Up
236383_at,2.02e-25,1.52e-28,-15.9295186,54.4472216,-2.02733292,,,24.6946486305534,Down
209473_at,2.15e-25,1.6899999999999999e-28,15.9060293,54.3465161,2.3294923,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,24.6675615400844,Up
229584_at,2.3e-25,1.9000000000000003e-28,15.8784529,54.228196,4.26007227,LRRK2,leucine rich repeat kinase 2,24.6382721639824,Up
204623_at,2.3e-25,1.94e-28,-15.8745188,54.2113082,-4.10800692,TFF3,trefoil factor 3,24.6382721639824,Down
203717_at,2.3e-25,1.8899999999999999e-28,15.8800472,54.235039,3.53028674,DPP4,dipeptidyl peptidase 4,24.6382721639824,Up
211828_s_at,2.58e-25,2.22e-28,15.8433127,54.0772782,2.16000355,TNIK,TRAF2 and NCK interacting kinase,24.5883802940368,Up
226961_at,3.24e-25,2.8499999999999997e-28,15.7860475,53.8309942,4.82006125,PRR15,proline rich 15,24.4894549897934,Up
230518_at,3.32e-25,2.97e-28,15.7763398,53.789201,2.26380727,MPZL2,myelin protein zero like 2,24.478861916296,Up
225056_at,3.38e-25,3.15e-28,15.7629848,53.7316858,1.70337863,SIPA1L2,signal induced proliferation associated 1 like 2,24.4710832997223,Up
214591_at,3.38e-25,3.0899999999999998e-28,-15.7671928,53.7498105,-1.38068176,KLHL4,kelch like family member 4,24.4710832997223,Down
230252_at,3.4e-25,3.23e-28,15.7571834,53.7066938,3.16013791,LPAR5,lysophosphatidic acid receptor 5,24.4685210829577,Up
218313_s_at,3.59e-25,3.48e-28,15.7403889,53.6343201,1.93492698,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,24.4449055514217,Up
242093_at,3.6599999999999997e-25,3.61e-28,15.7315614,53.5962644,4.21823952,SYTL5,synaptotagmin like 5,24.4365189146056,Up
219643_at,3.81e-25,3.8299999999999997e-28,-15.7180278,53.5379007,-3.43975196,LRP1B,LDL receptor related protein 1B,24.4190750243244,Down
212464_s_at,3.97e-25,4.07e-28,15.7045376,53.4797006,3.06847306,FN1,fibronectin 1,24.4012094932369,Up
213423_x_at,3.9799999999999998e-25,4.15e-28,15.7001671,53.4608402,2.92478718,TUSC3,tumor suppressor candidate 3,24.4001169279263,Up
204014_at,4.51e-25,4.78e-28,15.6674878,53.3197363,3.18614262,DUSP4,dual specificity phosphatase 4,24.345823458122,Up
229866_at,4.59e-25,4.95e-28,15.6596204,53.285745,2.401876,STK32A,serine/threonine kinase 32A,24.3381873144627,Up
211429_s_at,5.57e-25,6.11e-28,15.6117062,53.0785591,3.56638298,SERPINA1,serpin family A member 1,24.2541448048263,Up
218901_at,5.59e-25,6.23e-28,-15.6070984,53.0586188,-1.47231263,PLSCR4,phospholipid scramblase 4,24.2525881921136,Down
210665_at,5.72e-25,6.49e-28,-15.5978994,53.0188017,-2.08605293,TFPI,tissue factor pathway inhibitor,24.242603971207,Down
235746_s_at,5.74e-25,6.72e-28,-15.5900326,52.984742,-3.05631999,PLA2R1,phospholipase A2 receptor 1,24.241088107602,Down
229770_at,5.74e-25,6.7e-28,15.5905487,52.9869767,1.97915578,GLT1D1,glycosyltransferase 1 domain containing 1,24.241088107602,Up
227221_at,6.06e-25,7.200000000000001e-28,15.5742627,52.9164413,1.66665473,ZMAT3,zinc finger matrin-type 3,24.2175273758337,Up
216442_x_at,6.2e-25,7.48e-28,15.5655794,52.8788198,2.90680737,FN1,fibronectin 1,24.2076083105017,Up
210495_x_at,6.5e-25,7.97e-28,15.5511316,52.8162006,2.88218679,FN1,fibronectin 1,24.1870866433571,Up
209676_at,7.05e-25,8.77e-28,-15.5295286,52.7225193,-2.0609606,TFPI,tissue factor pathway inhibitor,24.1518108830086,Down
227055_at,7.93e-25,1e-27,15.4994772,52.5921008,3.23888744,METTL7B,methyltransferase like 7B,24.1007268126824,Up
219743_at,8.12e-25,1.0400000000000002e-27,15.4907749,52.5543123,2.74709522,HEY2,hes related family bHLH transcription factor with YRPW motif 2,24.0904439707588,Up
229464_at,8.75e-25,1.14e-27,15.4704488,52.4660105,1.46674873,MYEF2,myelin expression factor 2,24.0579919469777,Up
205532_s_at,1.0199999999999999e-24,1.3700000000000001e-27,15.4288528,52.2851402,2.72044076,CDH6,cadherin 6,23.9913998282381,Up
233587_s_at,1.0199999999999999e-24,1.34e-27,15.4332048,52.3040743,1.56718831,SIPA1L2,signal induced proliferation associated 1 like 2,23.9913998282381,Up
228973_at,1.07e-24,1.4500000000000002e-27,-15.4150751,52.225182,-1.92703412,DLG2,discs large MAGUK scaffold protein 2,23.9706162223148,Down
222581_at,1.24e-24,1.7000000000000002e-27,15.3794952,52.0702303,1.52738341,XPR1,xenotropic and polytropic retrovirus receptor 1,23.9065783148378,Up
213107_at,1.2699999999999999e-24,1.7600000000000003e-27,15.3714111,52.0350009,1.62880724,TNIK,TRAF2 and NCK interacting kinase,23.896196279044,Up
221447_s_at,1.36e-24,1.9400000000000003e-27,-15.3496185,51.9399898,-2.20948157,GLT8D2,glycosyltransferase 8 domain containing 2,23.8664610916298,Down
212895_s_at,1.36e-24,1.9100000000000003e-27,15.3529206,51.9543901,1.36843516,ABR,active BCR-related,23.8664610916298,Up
235534_at,1.38e-24,1.99e-27,15.3432654,51.91228,1.39042604,PHLDA3,pleckstrin homology like domain family A member 3,23.8601209135988,Up
226034_at,1.44e-24,2.1600000000000003e-27,15.3255615,51.8350352,2.63411556,DUSP4,dual specificity phosphatase 4,23.8416375079047,Up
222108_at,1.44e-24,2.11e-27,15.330551,51.8568092,2.62287953,AMIGO2,adhesion molecule with Ig like domain 2,23.8416375079047,Up
205016_at,1.44e-24,2.18e-27,15.3226396,51.8222826,2.56404501,TGFA,transforming growth factor alpha,23.8416375079047,Up
202733_at,1.44e-24,2.1300000000000002e-27,15.3279126,51.8452957,1.81887822,LOC101927705///P4HA2,uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2,23.8416375079047,Up
211719_x_at,1.51e-24,2.3300000000000004e-27,15.3083555,51.7599241,2.85335105,FN1,fibronectin 1,23.8210230527068,Up
211478_s_at,1.9099999999999997e-24,3.0100000000000004e-27,15.2501956,51.5057497,3.96339455,DPP4,dipeptidyl peptidase 4,23.7189666327523,Up
207415_at,2.1999999999999996e-24,3.5e-27,-15.2161897,51.3569331,-2.14589142,PLA2R1,phospholipase A2 receptor 1,23.6575773191778,Down
206574_s_at,2.25e-24,3.6200000000000004e-27,15.2086704,51.3240069,1.50002717,PTP4A3,"protein tyrosine phosphatase type IVA, member 3",23.6478174818886,Up
209474_s_at,2.31e-24,3.8500000000000006e-27,15.1949074,51.2637215,3.19927618,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,23.6363880201079,Up
209228_x_at,2.31e-24,3.8e-27,15.1975601,51.2753431,2.6628171,TUSC3,tumor suppressor candidate 3,23.6363880201079,Up
205082_s_at,2.31e-24,3.8e-27,-15.1976341,51.2756671,-1.73614031,AOX1,aldehyde oxidase 1,23.6363880201079,Down
223296_at,2.32e-24,3.91e-27,-15.1912944,51.2478916,-1.50576932,SLC25A33,solute carrier family 25 member 33,23.6345120151091,Down
214735_at,2.33e-24,3.9600000000000006e-27,-15.1885549,51.2358881,-3.16238933,IPCEF1,interaction protein for cytohesin exchange factors 1,23.632644078974,Down
215380_s_at,2.51e-24,4.33e-27,15.1681247,51.1463374,1.3253725,GGCT,gamma-glutamylcyclotransferase,23.600326278519,Up
204668_at,2.51e-24,4.3700000000000004e-27,15.1662205,51.1379881,1.18200727,RNF24,ring finger protein 24,23.600326278519,Up
224929_at,2.5499999999999998e-24,4.47e-27,15.1608562,51.1144646,1.83166378,TMEM173,transmembrane protein 173,23.593459819566,Up
209295_at,2.5699999999999997e-24,4.56e-27,15.1565922,51.0957638,1.31830691,TNFRSF10B,TNF receptor superfamily member 10b,23.5900668766687,Up
227134_at,3e-24,5.380000000000001e-27,15.1194364,50.9327084,2.04603641,SYTL1,synaptotagmin like 1,23.5228787452803,Up
210039_s_at,3.24e-24,5.86e-27,-15.1001202,50.8478706,-1.29225305,PRKCQ,protein kinase C theta,23.4894549897934,Down
209220_at,3.28e-24,5.990000000000001e-27,-15.0950803,50.8257274,-1.52783282,GPC3,glypican 3,23.4841261562883,Down
1555912_at,3.61e-24,6.67e-27,-15.0712352,50.7209172,-1.51870862,ST7-AS1,ST7 antisense RNA 1,23.4424927980943,Down
207691_x_at,3.77e-24,7.030000000000001e-27,15.0591936,50.6679613,3.16655177,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,23.4236586497942,Up
206253_at,3.79e-24,7.140000000000001e-27,-15.0556855,50.6525303,-2.2986923,DLG2,discs large MAGUK scaffold protein 2,23.4213607900319,Down
219355_at,4.54e-24,8.630000000000001e-27,-15.0133454,50.4661631,-1.58098157,CXorf57,chromosome X open reading frame 57,23.3429441471429,Down
202833_s_at,4.87e-24,9.350000000000001e-27,14.9952466,50.3864279,3.7837248,SERPINA1,serpin family A member 1,23.3124710387854,Up
219093_at,5.2099999999999996e-24,1.01e-26,-14.9780806,50.310764,-1.95773395,PID1,phosphotyrosine interaction domain containing 1,23.2831622767005,Down
1556051_a_at,5.5299999999999994e-24,1.0800000000000001e-26,14.9624474,50.2418238,1.37638571,BICD1,BICD cargo adaptor 1,23.2572748686953,Up
218613_at,5.7299999999999996e-24,1.1300000000000001e-26,14.9525675,50.1982386,2.04818421,PSD3,pleckstrin and Sec7 domain containing 3,23.2418453780326,Up
236038_at,6.5699999999999994e-24,1.31e-26,-14.9198152,50.0536636,-2.13621127,RNF150,ring finger protein 150,23.1824346304402,Down
203349_s_at,6.74e-24,1.3600000000000002e-26,14.9121128,50.0196434,1.79512148,ETV5,ETS variant 5,23.1713401034647,Up
204015_s_at,6.83e-24,1.39e-26,14.9073414,49.9985656,2.18318995,DUSP4,dual specificity phosphatase 4,23.1655792963185,Up
204606_at,8.27e-24,1.69e-26,-14.8624993,49.8003312,-3.43153172,CCL21,C-C motif chemokine ligand 21,23.0824944904475,Down
222587_s_at,8.58e-24,1.7700000000000002e-26,14.8521713,49.754638,2.15649555,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,23.0665127121513,Up
236741_at,8.69e-24,1.81e-26,-14.8475602,49.7342329,-2.43142526,WDR72,WD repeat domain 72,23.0609802235513,Down
210738_s_at,8.91e-24,1.8700000000000002e-26,-14.8399108,49.7003774,-2.81211634,SLC4A4,solute carrier family 4 member 4,23.0501222959631,Down
203921_at,8.93e-24,1.89e-26,14.837513,49.689763,1.80293844,CHST2,carbohydrate sulfotransferase 2,23.0491485411115,Up
219049_at,9.09e-24,1.9500000000000002e-26,-14.8315349,49.6632974,-2.27494706,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,23.041436116778,Down
209515_s_at,9.719999999999999e-24,2.11e-26,14.8129922,49.5811783,1.73904308,RAB27A,"RAB27A, member RAS oncogene family",23.0123337350737,Up
210038_at,9.719999999999999e-24,2.1e-26,-14.8147185,49.5888251,-1.30046027,PRKCQ,protein kinase C theta,23.0123337350737,Down
203716_s_at,1.0099999999999999e-23,2.22e-26,14.8018745,49.5319207,3.19429554,DPP4,dipeptidyl peptidase 4,22.9956786262174,Up
222871_at,1.0799999999999999e-23,2.39e-26,14.7858717,49.4609921,2.58159554,KLHDC8A,kelch domain containing 8A,22.966576244513,Up
227177_at,1.1399999999999999e-23,2.54e-26,14.7719944,49.3994585,1.63438942,CORO2A,coronin 2A,22.9430951486635,Up
219735_s_at,1.2099999999999999e-23,2.7100000000000004e-26,-14.7575223,49.3352614,-1.95646079,TFCP2L1,transcription factor CP2-like 1,22.9172146296835,Down
206765_at,1.36e-23,3.09e-26,14.7288942,49.2081911,3.82233277,KCNJ2,potassium voltage-gated channel subfamily J member 2,22.8664610916298,Up
207144_s_at,1.55e-23,3.55e-26,14.6979258,49.0706169,4.03209337,CITED1,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1,22.8096683018297,Up
228715_at,1.61e-23,3.7100000000000004e-26,14.6878975,49.0260414,5.57565691,ZCCHC12,zinc finger CCHC-type containing 12,22.7931741239682,Up
229860_x_at,1.6299999999999997e-23,3.78e-26,14.6837486,49.0075957,1.81495681,C4orf48,chromosome 4 open reading frame 48,22.787812395596,Up
218634_at,1.92e-23,4.5e-26,14.6451502,48.8358888,1.00299596,PHLDA3,pleckstrin homology like domain family A member 3,22.7166987712964,Up
225355_at,2.64e-23,6.220000000000001e-26,14.5732974,48.5157496,1.66872198,NEURL1B,neuralized E3 ubiquitin protein ligase 1B,22.5783960731302,Up
236065_at,2.69e-23,6.39e-26,14.5672433,48.4887462,3.98402562,,,22.5702477199976,Up
226303_at,2.69e-23,6.45e-26,-14.5653206,48.4801695,-1.95102763,PGM5,phosphoglucomutase 5,22.5702477199976,Down
226552_at,2.81e-23,6.79e-26,14.5539671,48.4295137,1.34968499,IER5L,immediate early response 5 like,22.5512936800949,Up
222549_at,2.9099999999999996e-23,7.080000000000001e-26,14.5448365,48.3887641,4.17020022,CLDN1,claudin 1,22.5361070110141,Up
232720_at,3.36e-23,8.240000000000001e-26,-14.511099,48.2381044,-1.88602578,LINGO2,leucine rich repeat and Ig domain containing 2,22.4736607226102,Down
203354_s_at,3.4099999999999995e-23,8.43e-26,14.5061047,48.2157896,2.24023251,PSD3,pleckstrin and Sec7 domain containing 3,22.4672456210075,Up
229839_at,3.5e-23,8.710000000000001e-26,-14.4988298,48.1832796,-2.84932376,SCARA5,scavenger receptor class A member 5,22.4559319556497,Down
206043_s_at,3.9299999999999995e-23,9.850000000000001e-26,-14.4718244,48.06254,-1.96528221,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,22.4056074496246,Down
232067_at,5.0899999999999995e-23,1.29e-25,14.4129687,47.7990855,2.5428831,FAXC,failed axon connections homolog,22.2932822176632,Up
208161_s_at,5.1299999999999997e-23,1.32e-25,14.4077658,47.7757752,2.37750684,ABCC3,ATP binding cassette subfamily C member 3,22.2898826348882,Up
228284_at,5.1299999999999997e-23,1.32e-25,-14.4067385,47.7711723,-1.76847144,TLE1,transducin like enhancer of split 1,22.2898826348882,Down
230670_at,5.1299999999999997e-23,1.32e-25,-14.4073039,47.7737056,-1.26754079,IGSF10,immunoglobulin superfamily member 10,22.2898826348882,Down
230127_at,5.579999999999999e-23,1.45e-25,14.3865727,47.6807902,2.22552737,,,22.2533658010624,Up
205382_s_at,5.969999999999999e-23,1.56e-25,-14.3701883,47.6073192,-2.13656144,CFD,complement factor D,22.2240256688706,Down
211163_s_at,6.61e-23,1.74e-25,14.3460786,47.4991461,2.18686814,TNFRSF10C,TNF receptor superfamily member 10c,22.1797985405144,Up
228080_at,6.909999999999999e-23,1.85e-25,-14.3333679,47.4420883,-1.83414714,LAYN,layilin,22.1605219526258,Down
218181_s_at,6.909999999999999e-23,1.8299999999999999e-25,14.3347724,47.448394,1.17128161,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,22.1605219526258,Up
206884_s_at,6.969999999999999e-23,1.88e-25,14.3298491,47.4262887,3.89948478,SCEL,sciellin,22.156767221902,Up
203387_s_at,7.169999999999999e-23,1.94e-25,-14.3222636,47.3922251,-1.54181671,TBC1D4,TBC1 domain family member 4,22.1444808443322,Down
225725_at,8.639999999999999e-23,2.35e-25,14.2798148,47.2014712,1.58999395,ZMAT3,zinc finger matrin-type 3,22.0634862575211,Up
232404_at,8.709999999999999e-23,2.39e-25,14.2766583,47.1872781,1.3937263,SHROOM4,shroom family member 4,22.0599818449923,Up
205479_s_at,8.849999999999999e-23,2.44e-25,14.2716885,47.1649286,3.53993186,PLAU,"plasminogen activator, urokinase",22.0530567293022,Up
220133_at,9.769999999999999e-23,2.72e-25,-14.2478107,47.0575069,-1.72781709,ODAM,"odontogenic, ameloblast asssociated",22.0101054362812,Down
209695_at,9.769999999999999e-23,2.73e-25,14.2470113,47.0539094,1.5599195,PTP4A3,"protein tyrosine phosphatase type IVA, member 3",22.0101054362812,Up
235801_at,1.0300000000000001e-22,2.91e-25,14.2331912,46.9917022,2.35750487,TUSC3,tumor suppressor candidate 3,21.9871627752948,Up
220114_s_at,1.0300000000000001e-22,2.89e-25,-14.23469,46.9984499,-1.23423976,STAB2,stabilin 2,21.9871627752948,Down
227760_at,1.07e-22,3.05e-25,-14.2227808,46.9448275,-2.77398886,IGFBPL1,insulin like growth factor binding protein like 1,21.9706162223148,Down
229014_at,1.09e-22,3.13e-25,14.2175588,46.9213096,1.86126222,NR2F1-AS1,NR2F1 antisense RNA 1,21.9625735020594,Up
226814_at,1.1200000000000001e-22,3.23e-25,14.2106176,46.8900434,2.78401537,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,21.9507819773298,Up
230104_s_at,1.15e-22,3.36e-25,-14.2019205,46.8508599,-1.99815198,TPPP,tubulin polymerization promoting protein,21.9393021596464,Down
205350_at,1.24e-22,3.62e-25,-14.1854896,46.7768078,-3.46497914,CRABP1,cellular retinoic acid binding protein 1,21.9065783148378,Down
230803_s_at,1.2500000000000001e-22,3.68e-25,-14.1819096,46.760669,-1.55979037,ARHGAP24,Rho GTPase activating protein 24,21.9030899869919,Down
222771_s_at,1.31e-22,3.88e-25,14.1703968,46.7087572,2.17595005,MYEF2,myelin expression factor 2,21.8827287043442,Up
1553559_at,1.34e-22,3.9999999999999997e-25,-14.1633029,46.6767627,-1.46436561,TMEM171,transmembrane protein 171,21.8728952016352,Down
209470_s_at,1.43e-22,4.3e-25,-14.1475399,46.605647,-3.40666754,GPM6A,glycoprotein M6A,21.8446639625349,Down
224374_s_at,1.46e-22,4.42e-25,14.1418113,46.5797949,1.92656968,EMILIN2,elastin microfibril interfacer 2,21.8356471442156,Up
240039_at,1.49e-22,4.53e-25,-14.1364029,46.555384,-1.58597863,PLA2R1,phospholipase A2 receptor 1,21.8268137315877,Down
219630_at,1.55e-22,4.77e-25,14.1249863,46.5038432,3.56227416,PDZK1IP1,PDZK1 interacting protein 1,21.8096683018297,Up
228090_at,1.55e-22,4.73e-25,-14.1268896,46.5124367,-1.17565607,NMNAT3,nicotinamide nucleotide adenylyltransferase 3,21.8096683018297,Down
231358_at,1.63e-22,5.0499999999999995e-25,-14.1125319,46.4475988,-2.57066525,MRO,maestro,21.787812395596,Down
232056_at,1.77e-22,5.51e-25,14.093408,46.3611985,3.94127861,SCEL,sciellin,21.7520267336382,Up
228315_at,1.81e-22,5.67e-25,14.0871737,46.333023,1.81624056,ZMAT3,zinc finger matrin-type 3,21.7423214251308,Up
229024_at,1.82e-22,5.73e-25,-14.0850118,46.3232512,-1.92218566,RNF150,ring finger protein 150,21.7399286120149,Down
210335_at,1.98e-22,6.25e-25,-14.0659037,46.2368585,-1.59449151,RASSF9,Ras association domain family member 9,21.7033348097385,Down
210739_x_at,2.11e-22,6.72e-25,-14.0499424,46.1646599,-1.54926947,SLC4A4,solute carrier family 4 member 4,21.6757175447023,Down
207414_s_at,2.15e-22,6.9e-25,-14.0444283,46.1397103,-1.0025989,LOC100507472///PCSK6,uncharacterized LOC100507472///proprotein convertase subtilisin/kexin type 6,21.6675615400844,Down
230645_at,2.28e-22,7.39e-25,14.0292003,46.0707895,2.78348116,FRMD3,FERM domain containing 3,21.6420651529995,Up
202350_s_at,2.28e-22,7.329999999999999e-25,-14.0312516,46.0800753,-2.453298,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,21.6420651529995,Down
1563874_at,2.37e-22,7.72e-25,-14.0198045,46.0282509,-2.00448404,WDR72,WD repeat domain 72,21.6252516539899,Down
210194_at,2.7600000000000002e-22,9.03e-25,-13.9856406,45.8734877,-1.71917138,PLA2R1,phospholipase A2 receptor 1,21.5590909179348,Down
203685_at,2.7900000000000003e-22,9.19e-25,-13.9817582,45.8558915,-1.71633253,BCL2,"BCL2, apoptosis regulator",21.5543957967264,Down
240137_at,2.8000000000000004e-22,9.28e-25,-13.9795594,45.8459247,-2.38027719,,,21.5528419686578,Down
230526_at,2.89e-22,9.63e-25,13.9715503,45.8096173,1.83192265,TNRC6C-AS1,TNRC6C antisense RNA 1,21.5391021572435,Up
229032_at,3.11e-22,1.04e-24,-13.9538584,45.7293875,-2.3157449,WSCD2,WSC domain containing 2,21.5072396109732,Down
227240_at,3.11e-22,1.05e-24,13.9524345,45.7229285,2.27355636,NGEF,neuronal guanine nucleotide exchange factor,21.5072396109732,Up
221073_s_at,3.11e-22,1.05e-24,13.9535795,45.7281222,1.68767411,NOD1,nucleotide binding oligomerization domain containing 1,21.5072396109732,Up
213258_at,3.52e-22,1.2e-24,-13.9242011,45.5948125,-1.94651446,TFPI,tissue factor pathway inhibitor,21.4534573365219,Down
226804_at,3.68e-22,1.26e-24,13.9130699,45.5442753,2.88667254,FAM20A,family with sequence similarity 20 member A,21.4341521813265,Up
218332_at,3.7000000000000005e-22,1.2699999999999999e-24,-13.9106682,45.5333695,-3.18669281,BEX1,brain expressed X-linked 1,21.431798275933,Down
230425_at,3.9000000000000004e-22,1.3499999999999999e-24,-13.89829,45.4771504,-2.69344064,EPHB1,EPH receptor B1,21.4089353929735,Down
227091_at,4e-22,1.39e-24,-13.8914306,45.4459886,-1.93101652,CCDC146,coiled-coil domain containing 146,21.397940008672,Down
211603_s_at,4.87e-22,1.71e-24,13.8465145,45.2417983,1.09982102,ETV4,ETS variant 4,21.3124710387854,Up
226542_at,4.94e-22,1.74e-24,13.8423582,45.222892,1.1435241,RNF24,ring finger protein 24,21.3062730510764,Up
220724_at,5.07e-22,1.7999999999999997e-24,-13.8354382,45.1914084,-2.72682288,CWH43,cell wall biogenesis 43 C-terminal homolog,21.2949920406667,Down
220723_s_at,5.54e-22,1.99e-24,-13.8141203,45.094385,-2.64191105,CWH43,cell wall biogenesis 43 C-terminal homolog,21.2564902352716,Down
35666_at,5.54e-22,1.98e-24,13.8152743,45.0996382,1.17803291,SEMA3F,semaphorin 3F,21.2564902352716,Up
227088_at,5.63e-22,2.0299999999999998e-24,13.8097189,45.0743463,2.33804893,PDE5A,phosphodiesterase 5A,21.2494916051487,Up
