ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,neg_log10_adjP,DEG_status
205773_at,5.27e-19,4.52e-21,-12.1679603,37.4494695,-1.0118117,CPEB3,cytoplasmic polyadenylation element binding protein 3,18.2781893847875,Down
212713_at,5.36e-19,4.6e-21,-12.1642229,37.4317966,-1.52789459,MFAP4,microfibrillar associated protein 4,18.2708352103072,Down
239353_at,5.53e-19,4.77e-21,12.1570222,37.3977436,1.80599353,STK32A,serine/threonine kinase 32A,18.2572748686953,Up
238605_at,5.66e-19,4.8800000000000004e-21,-12.1519767,37.3738793,-1.51975504,NOL4,nucleolar protein 4,18.2471835688117,Down
202796_at,5.74e-19,4.980000000000001e-21,12.148048,37.3552961,1.1484179,SYNPO,synaptopodin,18.241088107602,Up
229580_at,6.07e-19,5.28e-21,-12.1355398,37.2961212,-1.42831177,CLSTN2,calsyntenin 2,18.2168113089247,Down
221489_s_at,6.09e-19,5.3200000000000004e-21,12.1342192,37.2898726,1.28415091,SPRY4,sprouty RTK signaling antagonist 4,18.2153827073671,Up
210988_s_at,6.11e-19,5.34e-21,-12.1333116,37.2855781,-1.10871949,PRUNE1,prune exopolyphosphatase,18.2139587897574,Down
203060_s_at,6.13e-19,5.3700000000000006e-21,-12.1321455,37.2800604,-2.39644703,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,18.2125395254816,Down
227347_x_at,6.15e-19,5.4e-21,12.1309498,37.2744027,1.07392931,HES4,hes family bHLH transcription factor 4,18.2111248842246,Up
212736_at,6.53e-19,5.7600000000000004e-21,12.1175812,37.2111355,1.18079184,C16orf45,chromosome 16 open reading frame 45,18.1850868187249,Up
219522_at,6.69e-19,5.920000000000001e-21,12.1115325,37.1825046,1.25120041,FJX1,four jointed box 1,18.1745738822322,Up
203699_s_at,6.71e-19,5.96e-21,-12.1104104,37.1771931,-2.19750327,DIO2,"deiodinase, iodothyronine, type II",18.173277479831,Down
204663_at,6.75e-19,6e-21,12.1088344,37.1697324,1.03348767,ME3,malic enzyme 3,18.170696227169,Up
233536_at,6.93e-19,6.180000000000001e-21,-12.1026821,37.1406062,-2.06340712,ASXL3,"additional sex combs like 3, transcriptional regulator",18.1592667653882,Down
205656_at,7.1e-19,6.350000000000001e-21,12.0971108,37.1142276,1.40039989,PCDH17,protocadherin 17,18.1487416512809,Up
214162_at,7.75e-19,6.960000000000001e-21,-12.0778569,37.0230444,-1.73777169,ASXL3,"additional sex combs like 3, transcriptional regulator",18.1106982974937,Down
213592_at,8.22e-19,7.44e-21,12.0638501,36.9566892,1.37118036,APLNR,apelin receptor,18.08512818246,Up
204017_at,8.57e-19,7.790000000000001e-21,12.0543554,36.9116995,1.45262516,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,18.0670191780768,Up
223075_s_at,8.58e-19,7.82e-21,-12.0536187,36.9082085,-1.82683789,AIF1L,allograft inflammatory factor 1 like,18.0665127121513,Down
223868_s_at,8.72e-19,7.95e-21,-12.0499921,36.8910219,-1.2578066,WWOX,WW domain containing oxidoreductase,18.0594835150674,Down
205413_at,8.77e-19,8.02e-21,-12.0483304,36.8831463,-2.92961336,MPPED2,metallophosphoesterase domain containing 2,18.057000406634,Down
205508_at,8.86e-19,8.16e-21,12.0447402,36.8661307,1.39722051,SCN1B,sodium voltage-gated channel beta subunit 1,18.0525662781129,Up
203989_x_at,8.86e-19,8.14e-21,12.0452867,36.8687209,1.31499425,F2R,coagulation factor II thrombin receptor,18.0525662781129,Up
203386_at,8.86e-19,8.14e-21,-12.0452055,36.868336,-1.16272109,TBC1D4,TBC1 domain family member 4,18.0525662781129,Down
235201_at,8.87e-19,8.190000000000001e-21,-12.0438429,36.8618774,-2.33602315,FOXP2,forkhead box P2,18.0520763801683,Down
238542_at,8.95e-19,8.28e-21,12.0415941,36.8512185,1.71280152,ULBP2,UL16 binding protein 2,18.0481769646841,Up
213189_at,9.4e-19,8.71e-21,-12.0309311,36.800671,-1.34156188,MINA,MYC induced nuclear antigen,18.0268721464003,Down
204037_at,9.44e-19,8.770000000000001e-21,-12.0296422,36.7945606,-1.3341276,LPAR1,lysophosphatidic acid receptor 1,18.0250280057019,Down
229376_at,9.57e-19,8.910000000000001e-21,-12.0263013,36.7787206,-1.80206563,PROX1,prospero homeobox 1,18.0190880622232,Down
206222_at,9.93e-19,9.28e-21,12.0177473,36.73816,1.48023284,TNFRSF10C,TNF receptor superfamily member 10c,18.0030507515046,Up
203058_s_at,1e-18,9.4e-21,-12.0150808,36.725515,-2.37144872,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,18,Down
223074_s_at,1.03e-18,9.690000000000001e-21,-12.0087573,36.6955251,-1.03512423,AIF1L,allograft inflammatory factor 1 like,17.9871627752948,Down
219073_s_at,1.12e-18,1.05e-20,11.9917988,36.6150799,1.48630916,OSBPL10,oxysterol binding protein like 10,17.9507819773298,Up
240770_at,1.16e-18,1.09e-20,-11.9836273,36.5763083,-1.43229378,TMEM171,transmembrane protein 171,17.9355420107731,Down
208891_at,1.25e-18,1.19e-20,11.9661398,36.4933146,2.05537331,DUSP6,dual specificity phosphatase 6,17.9030899869919,Up
242600_at,1.28e-18,1.22e-20,11.9606197,36.4671112,2.42747079,FRMD3,FERM domain containing 3,17.8927900303521,Up
202826_at,1.29e-18,1.23e-20,11.9587213,36.4580992,1.13582235,SPINT1,"serine peptidase inhibitor, Kunitz type 1",17.8894102897008,Up
204288_s_at,1.3e-18,1.24e-20,-11.9565845,36.447955,-1.74738992,SORBS2,sorbin and SH3 domain containing 2,17.8860566476932,Down
1554576_a_at,1.3e-18,1.24e-20,11.9566886,36.4484491,1.18612102,ETV4,ETS variant 4,17.8860566476932,Up
219932_at,1.44e-18,1.38e-20,11.9353334,36.347046,3.31396155,SLC27A6,solute carrier family 27 member 6,17.8416375079047,Up
230536_at,1.46e-18,1.4e-20,-11.9322152,36.3322361,-1.3573199,PBX4,PBX homeobox 4,17.8356471442156,Down
205490_x_at,1.51e-18,1.45e-20,11.9248758,36.2973749,1.46596607,GJB3,gap junction protein beta 3,17.8210230527068,Up
205782_at,1.53e-18,1.48e-20,-11.9208174,36.2780955,-1.0017345,FGF7,fibroblast growth factor 7,17.8153085691824,Down
207401_at,1.56e-18,1.51e-20,-11.9157681,36.2541074,-1.54990535,PROX1,prospero homeobox 1,17.8068754016455,Down
225589_at,1.64e-18,1.6e-20,-11.9044016,36.2000992,-1.2248886,SH3RF1,SH3 domain containing ring finger 1,17.7851561519523,Down
242364_x_at,1.64e-18,1.59e-20,11.9056512,36.2060373,1.09052708,TNRC6C-AS1,TNRC6C antisense RNA 1,17.7851561519523,Up
238624_at,1.67e-18,1.63e-20,-11.9003038,36.1806256,-1.01955317,LOC102724517///NLK,uncharacterized LOC102724517///nemo like kinase,17.7772835288524,Down
232231_at,1.73e-18,1.69e-20,11.8929687,36.1457644,2.8668268,RUNX2,runt related transcription factor 2,17.7619538968712,Up
