category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	15/73	227/9395	1.47742334069603e-10	5.88331080312882e-10	1.49964023303732e-10	AKT1/CAT/CYP1A2/HIF1A/HMOX1/MAPK1/MAPK14/MAPK3/MAPK8/NFE2L2/NFKB1/PIK3R1/RELA/SOD1/SOD2	15
Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	11/73	105/9395	3.9895838793791e-10	1.56083720193252e-9	3.97853240048885e-10	BCL2/CXCL1/CXCL8/IL1B/IL1R1/NFKB1/PTGS2/RELA/RIPK1/TNF/TNFAIP3	11
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	17/73	333/9395	4.25812706830423e-10	1.63717644177904e-9	4.17311908690433e-10	AKT1/BAX/CASP3/CASP8/CDKN1A/COL1A1/FADD/FN1/MAPK1/MAPK3/MTOR/NFKB1/PIK3R1/PTGS2/RELA/TNF/TP53	17
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	11/73	106/9395	4.4244389114561003e-10	1.6722879275503601e-9	4.26261732771864e-10	AKT1/BCL2/CASP9/CDKN1A/MAPK1/MAPK3/MTOR/NFKB1/PIK3R1/RELA/TP53	11
Human Diseases	Cancer: specific types	hsa05225	Hepatocellular carcinoma	13/73	170/9395	4.73201038304708e-10	1.75873052569916e-9	4.48295720499197e-10	AKT1/BAX/CDKN1A/CDKN2A/HMOX1/MAPK1/MAPK3/MTOR/MYC/NFE2L2/PIK3R1/TGFB1/TP53	13
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	12/73	148/9395	1.20231428282785e-9	4.39534565689527e-9	1.1203618856376901e-9	AKT1/BAX/CDKN1A/ESR1/ESR2/MAPK1/MAPK3/MTOR/MYC/PGR/PIK3R1/TP53	12
Human Diseases	Cancer: overview	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	10/73	90/9395	1.4811029728955302e-9	5.3271929508984304e-9	1.3578872756597401e-9	AKT1/HIF1A/MAPK1/MAPK14/MAPK3/MTOR/NFKB1/PIK3R1/RELA/TLR9	10
Organismal Systems	Nervous system	hsa04722	Neurotrophin signaling pathway	11/73	120/9395	1.6958913772065401e-9	6.00291709709617e-9	1.5301275583818402e-9	AKT1/BAX/BCL2/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/RELA/TP53	11
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	15/73	275/9395	2.1488955458916802e-9	7.487557917716321e-9	1.90855854404853e-9	BAX/CASP3/CASP9/CYCS/DDIT3/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/PIK3R1/SOD1/TNF	15
Human Diseases	Cancer: overview	hsa05206	MicroRNAs in cancer	16/73	323/9395	2.3451433180034e-9	8.045645537150141e-9	2.05081358983294e-9	BCL2/CASP3/CDC25B/CDKN1A/CDKN2A/HDAC4/HMOX1/MAPK1/MAPK3/MCL1/MTOR/MYC/NFKB1/PIK3R1/PTGS2/TP53	16
Organismal Systems	Immune system	hsa04622	RIG-I-like receptor signaling pathway	9/73	72/9395	3.58010128212354e-9	1.2096402816872e-8	3.0833408171398904e-9	CASP8/CXCL8/FADD/MAPK14/MAPK8/NFKB1/RELA/RIPK1/TNF	9
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	8/73	50/9395	3.7096040132488403e-9	1.234689096947e-8	3.14718957918991e-9	CCL2/CXCL8/IL10/IL1B/IL6/TGFB1/TLR9/TNF	8
Human Diseases	Cancer: specific types	hsa05218	Melanoma	9/73	73/9395	4.05844235242464e-9	1.31164151389956e-8	3.3433392376953504e-9	AKT1/BAX/CDH1/CDKN1A/CDKN2A/MAPK1/MAPK3/PIK3R1/TP53	9
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	9/73	73/9395	4.05844235242464e-9	1.31164151389956e-8	3.3433392376953504e-9	AKT1/BAX/CASP9/CDKN1A/CDKN2A/MAPK1/MAPK3/PIK3R1/TP53	9
Cellular Processes	Cell growth and death	hsa04217	Necroptosis	12/73	168/9395	5.15333149651856e-9	1.62885982840158e-8	4.15192026120771e-9	BAX/BCL2/CASP8/FADD/H2AX/IL1A/IL1B/MAPK8/RIPK1/SQSTM1/TNF/TNFAIP3	12
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	9/73	75/9395	5.18605595589741e-9	1.62885982840158e-8	4.15192026120771e-9	BAX/BCL2/CASP3/CASP8/CASP9/CDKN1A/CDKN2A/CYCS/TP53	9
Human Diseases	Cancer: specific types	hsa05214	Glioma	9/73	76/9395	5.8465131672613805e-9	1.81079505041568e-8	4.6156682899432e-9	AKT1/BAX/CDKN1A/CDKN2A/MAPK1/MAPK3/MTOR/PIK3R1/TP53	9
Human Diseases	Cancer: overview	hsa05207	Chemical carcinogenesis - receptor activation	13/73	217/9395	9.446827779405391e-9	2.88581177370877e-8	7.355857247121721e-9	AKT1/BCL2/CYP1A2/ESR1/ESR2/MAPK1/MAPK3/MTOR/MYC/NFKB1/PGR/PIK3R1/RELA	13
Human Diseases	Cancer: specific types	hsa05216	Thyroid cancer	7/73	37/9395	1.08992357174608e-8	3.28449941215374e-8	8.372101404592961e-9	BAX/CDH1/CDKN1A/MAPK1/MAPK3/MYC/TP53	7
Environmental Information Processing	Signal transduction	hsa04370	VEGF signaling pathway	8/73	60/9395	1.66197094741633e-8	4.94159361698455e-8	1.25959903383132e-8	AKT1/CASP9/MAPK1/MAPK14/MAPK3/NOS3/PIK3R1/PTGS2	8
Environmental Information Processing	Signal transduction	hsa04012	ErbB signaling pathway	9/73	86/9395	1.7742346358605e-8	5.20597794469594e-8	1.32698989385688e-8	AKT1/AREG/CDKN1A/MAPK1/MAPK3/MAPK8/MTOR/MYC/PIK3R1	9
Organismal Systems	Aging	hsa04211	Longevity regulating pathway	9/73	90/9395	2.65845117384483e-8	7.69915080217399e-8	1.96249300598251e-8	AKT1/BAX/CAT/MTOR/NFKB1/PIK3R1/RELA/SOD2/TP53	9
Organismal Systems	Immune system	hsa04660	T cell receptor signaling pathway	10/73	122/9395	2.93109904411965e-8	8.2738618587175e-8	2.10898532155178e-8	AKT1/IL10/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/RELA/TNF	10
Organismal Systems	Endocrine system	hsa04919	Thyroid hormone signaling pathway	10/73	122/9395	2.93109904411965e-8	8.2738618587175e-8	2.10898532155178e-8	AKT1/CASP9/ESR1/HIF1A/MAPK1/MAPK3/MTOR/MYC/PIK3R1/TP53	10
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	8/73	66/9395	3.59498845906335e-8	1.00210303296391e-7	2.55433390512396e-8	IL10/IL1A/IL1B/IL6/NFKB1/RELA/TGFB1/TNF	8
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	8/73	68/9395	4.56993816975931e-8	1.25814347142756e-7	3.20697415421706e-8	AKT1/MAPK1/MAPK3/MTOR/MYC/NFKB1/PIK3R1/RELA	8
Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	12/73	205/9395	4.82857833516826e-8	1.29731682981027e-7	3.30682599998841e-8	BAX/CASP3/CASP8/CDKN1A/CDKN2A/HDAC4/MAPK1/MAPK3/NFKB1/PIK3R1/RELA/TP53	12
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	12/73	205/9395	4.82857833516826e-8	1.29731682981027e-7	3.30682599998841e-8	AKT1/COL1A1/COL3A1/MAPK14/MAPK8/MMP2/MTOR/NFKB1/NOS3/PIK3R1/RELA/TGFB1	12
Human Diseases	Infectious disease: bacterial	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	8/73	71/9395	6.45657258758611e-8	1.69390080827259e-7	4.31770798426811e-8	CASP3/CXCL1/CXCL8/CXCR2/MAPK14/MAPK8/NFKB1/RELA	8
Human Diseases	Cancer: overview	hsa05230	Central carbon metabolism in cancer	8/73	71/9395	6.45657258758611e-8	1.69390080827259e-7	4.31770798426811e-8	AKT1/HIF1A/MAPK1/MAPK3/MTOR/MYC/PIK3R1/TP53	8
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	10/73	139/9395	1.02036199213742e-7	2.64582237496099e-7	6.74413067018616e-8	AKT1/BCL2/ESR1/ESR2/MAPK1/MAPK3/MMP2/NOS3/PGR/PIK3R1	10
Human Diseases	Neurodegenerative disease	hsa05014	Amyotrophic lateral sclerosis	15/73	368/9395	1.07868511672825e-7	2.76490552908507e-7	7.0476704541229e-8	BAX/BCL2/BECN1/CASP3/CASP9/CAT/CYCS/DDIT3/GPX1/MAPK14/MTOR/SOD1/SQSTM1/TNF/TP53	15
Human Diseases	Endocrine and metabolic disease	hsa04931	Insulin resistance	9/73	109/9395	1.42721733276656e-7	3.61669846826072e-7	9.21886793892277e-8	AKT1/IL6/MAPK8/MTOR/NFKB1/NOS3/PIK3R1/RELA/TNF	9
Human Diseases	Drug resistance: antineoplastic	hsa01521	EGFR tyrosine kinase inhibitor resistance	8/73	80/9395	1.66398971304212e-7	4.16932253942013e-7	1.06274919579272e-7	AKT1/BAX/BCL2/IL6/MAPK1/MAPK3/MTOR/PIK3R1	8
Organismal Systems	Immune system	hsa04623	Cytosolic DNA-sensing pathway	8/73	83/9395	2.22258794794791e-7	5.50707902658205e-7	1.40373975659868e-7	CASP3/CASP8/FADD/IL1B/IL6/NFKB1/RELA/RIPK1	8
Human Diseases	Infectious disease: viral	hsa05171	Coronavirus disease	12/73	239/9395	2.59515910628315e-7	6.35956572199058e-7	1.62103634169219e-7	CCL2/CXCL8/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/RELA/TNF	12
Organismal Systems	Immune system	hsa04611	Platelet activation	9/73	126/9395	4.96288905612342e-7	0.00000120296115164731	3.06631589279937e-7	AKT1/COL1A1/COL3A1/MAPK1/MAPK14/MAPK3/NOS3/PIK3R1/PTGS1	9
Cellular Processes	Transport and catabolism	hsa04140	Autophagy - animal	10/73	169/9395	6.35739607872326e-7	0.00000150871814690842	3.8456823192379e-7	AKT1/BCL2/BECN1/HIF1A/MAPK1/MAPK3/MAPK8/MTOR/PIK3R1/SQSTM1	10
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	8/73	95/9395	6.35961909459156e-7	0.00000150871814690842	3.8456823192379e-7	CCL2/CXCL1/CXCL8/IL1A/IL1B/IL6/TGFB1/TNF	8
Organismal Systems	Immune system	hsa04664	Fc epsilon RI signaling pathway	7/73	69/9395	9.37568946624324e-7	0.00000220081973786552	5.60983081636715e-7	AKT1/MAPK1/MAPK14/MAPK3/MAPK8/PIK3R1/TNF	7
Human Diseases	Cancer: specific types	hsa05211	Renal cell carcinoma	7/73	70/9395	0.00000103533817779564	0.00000240500430883779	6.13029184221103e-7	AKT1/CDKN1A/HIF1A/MAPK1/MAPK3/PIK3R1/TGFB1	7
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	9/73	140/9395	0.00000121046469295902	0.00000278282089206042	7.09333623654768e-7	ACTA2/AKT1/BECN1/CDH1/HDAC4/MAPK1/MAPK3/MTOR/NOS3	9
Human Diseases	Endocrine and metabolic disease	hsa04930	Type II diabetes mellitus	6/73	47/9395	0.00000149081746800889	0.00000339237036087738	8.64706157599144e-7	MAPK1/MAPK3/MAPK8/MTOR/PIK3R1/TNF	6
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	8/73	110/9395	0.00000195376628578808	0.00000440090789627013	0.00000112177968561995	AKT1/CDC25B/MAPK1/MAPK14/MAPK3/MAPK8/PGR/PIK3R1	8
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	10/73	193/9395	0.00000214109512405088	0.00000477464212663347	0.00000121704354419734	AKT1/CCL2/CXCL1/CXCL8/CXCR2/MAPK1/MAPK3/NFKB1/PIK3R1/RELA	10
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	10/73	195/9395	0.00000235031259717641	0.00000518930405119149	0.00000132273976287156	AKT1/H2AX/HDAC4/MAPK1/MAPK14/MAPK3/MTOR/NFKB1/PIK3R1/RELA	10
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	5/73	30/9395	0.00000302008240444422	0.00000660272917834374	0.00000168301805820421	IL1B/IL6/NFKB1/RELA/TNF	5
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	9/73	157/9395	0.00000314659595026582	0.00000681253297970173	0.00000173649648762754	CASP3/HIF1A/IL10/MAPK1/MAPK14/MAPK3/PTGS2/SGK1/TGFB1	9
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	12/73	308/9395	0.00000380637268906087	0.00000816174143904398	0.00000208040612560007	BAX/BECN1/CASP3/CASP8/CASP9/CYCS/GPX1/MAPK8/MTOR/SOD1/SOD2/TP53	12
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	9/73	168/9395	0.00000549223545481382	0.0000116644619659379	0.000002973240246215	AKT1/BCL2/CDKN1A/IL10/IL6/MCL1/MTOR/MYC/PIK3R1	9
Organismal Systems	Aging	hsa04213	Longevity regulating pathway - multiple species	6/73	62/9395	0.00000778613121152804	0.0000163802571714222	0.00000417528386715506	AKT1/CAT/MTOR/PIK3R1/SOD1/SOD2	6
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	5/73	37/9395	0.00000885548410629845	0.0000184558220159304	0.00000470433981052746	IL10/IL1B/IL6/TLR9/TNF	5
Human Diseases	Cancer: overview	hsa05231	Choline metabolism in cancer	7/73	99/9395	0.0000107521000339486	0.000022201095440468	0.0000056590000178677	AKT1/HIF1A/MAPK1/MAPK3/MAPK8/MTOR/PIK3R1	7
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	7/73	100/9395	0.0000114903448633454	0.0000235077697662939	0.00000599206781864465	CCL2/CXCL1/CXCL8/CXCR2/IL10/IL6/TNF	7
Organismal Systems	Endocrine system	hsa04920	Adipocytokine signaling pathway	6/73	70/9395	0.0000158131301085474	0.000031826591941471	0.00000811251340495367	AKT1/MAPK8/MTOR/NFKB1/RELA/TNF	6
Cellular Processes	Transport and catabolism	hsa04137	Mitophagy - animal	7/73	105/9395	0.0000158419358991179	0.000031826591941471	0.00000811251340495367	BECN1/HIF1A/MAPK8/MFN2/RELA/SQSTM1/TP53	7
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	11/73	298/9395	0.0000167659300250948	0.0000333821642463942	0.00000850902463679625	CCL2/CXCL1/CXCL8/CXCR2/IL10/IL1A/IL1B/IL1R1/IL6/TGFB1/TNF	11
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	9/73	201/9395	0.0000233266123752221	0.0000460339341564118	0.0000117339270448253	BAX/CDKN1A/CXCL8/DDIT3/IL6/MYC/NFKB1/RELA/TP53	9
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	10/73	268/9395	0.0000384095917699303	0.0000751345523218812	0.0000191515970043974	BAX/CASP3/CASP9/CYCS/DDIT3/MAPK8/MFN2/NFE2L2/SOD1/TP53	10
Organismal Systems	Endocrine system	hsa04935	Growth hormone synthesis, secretion and action	7/73	122/9395	0.0000419844868643643	0.0000814133962674195	0.0000207520575805554	AKT1/MAPK1/MAPK14/MAPK3/MAPK8/MTOR/PIK3R1	7
Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	6/73	91/9395	0.0000707008614556818	0.0001359163112466	0.0000346447052505156	AKT1/MAPK1/MAPK3/NFKB1/PIK3R1/RELA	6
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	6/73	93/9395	0.000079867226047831	0.0001522255675954	0.0000388018911973268	MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/RELA	6
Cellular Processes	Cellular community - eukaryotes	hsa04550	Signaling pathways regulating pluripotency of stem cells	7/73	144/9395	0.0001202421549265	0.000227237292785	0.0000579221798932762	AKT1/ID1/MAPK1/MAPK14/MAPK3/MYC/PIK3R1	7
Organismal Systems	Endocrine system	hsa04929	GnRH secretion	5/73	65/9395	0.0001417405243644	0.0002656145960779	0.0000677044521510887	AKT1/ESR2/MAPK1/MAPK3/PIK3R1	5
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	7/73	149/9395	0.0001488128290388	0.0002765438406305	0.0000704902874394488	AKT1/CXCL8/CXCR2/MAPK1/MAPK3/MTOR/PIK3R1	7
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	8/73	203/9395	0.0001668967353995	0.0003075865454057	0.0000784029900963331	AKT1/BCL2/COL1A1/FN1/MAPK1/MAPK3/MAPK8/PIK3R1	8
		hsa04518	Integrin signaling	7/73	154/9395	0.0001826653291785	0.0003338882656296	0.0000851072284352285	AKT1/CDH1/COL1A1/FN1/MTOR/PIK3R1/TGFB1	7
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	6/73	110/9395	0.0002022825450233	0.0003646809989493	0.0000929562140347668	ID1/MAPK1/MAPK3/MYC/TGFB1/TNF	6
Organismal Systems	Excretory system	hsa04960	Aldosterone-regulated sodium reabsorption	4/73	38/9395	0.0002027822595054	0.0003646809989493	0.0000929562140347668	MAPK1/MAPK3/PIK3R1/SGK1	4
Environmental Information Processing	Signal transduction	hsa04150	mTOR signaling pathway	7/73	158/9395	0.0002140213287543	0.0003818140504976	0.0000973233831809048	AKT1/MAPK1/MAPK3/MTOR/PIK3R1/SGK1/TNF	7
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	6/73	115/9395	0.000257746900324	0.0004525792029312	0.0001153612318068	CASP3/CYP2D6/MAPK1/MAPK3/PTGS1/PTGS2	6
Organismal Systems	Endocrine system	hsa04928	Parathyroid hormone synthesis, secretion and action	6/73	115/9395	0.000257746900324	0.0004525792029312	0.0001153612318068	BCL2/CASR/CDKN1A/MAPK1/MAPK3/SGK1	6
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	4/73	45/9395	0.0003928663265632	0.0006844468033093	0.0001744636647566	IL1A/IL1B/IL6/TNF	4
