Gene,Biological_pairs_n,Adjacent_mean,Adjacent_SD,Tumor_mean,Tumor_SD,Mean_difference_Tumor_minus_Adjacent,Mean_difference_CI_low,Mean_difference_CI_high,Cohen_dz,Wilcoxon_pseudomedian_difference,Wilcoxon_CI_low,Wilcoxon_CI_high,Matched_rank_biserial,Shapiro_P_paired_differences,Paired_t_P,Paired_t_Bonferroni_3,Exact_Wilcoxon_P,Exact_Wilcoxon_Bonferroni_3,Direction_in_tumor
BAX,15,50.776,40.9820788010704,71.1273333333333,46.1322391867223,20.3513333333333,9.54313508014801,31.1595315865187,1.04274,18.79,8.16500000000001,31.665,0.95,0.143572289409889,0.00122033970982598,0.0036610191294779403,0.00030517578125,0.00091552734375,Higher
BCL2,15,72.0093333333333,25.8359266655304,48.5793333333333,26.3628638880709,-23.43,-35.9702509951721,-10.8897490048279,-1.03468,-21.0075,-35.91,-9.505,-0.95,0.140790998641424,0.00129738642902731,0.00389215928708193,0.00030517578125,0.00091552734375,Lower
FN1,15,162.205333333333,33.8296594017453,204.169333333333,39.4522328657737,41.964,22.2854864566666,61.6425135433334,1.18093,40.72,24.41,57.59,0.916667,0.684731819114512,0.000433638570125858,0.001300915710377574,0.0006103515625,0.0018310546875,Higher
