gene,tissue_type,analysis_scope,marker_based_cell_type,n_cells,pct_expressing,avg_log_expression,median_log_expression
BCL2,Subcutaneous metastasis,Metastatic_lesion,Fibroblasts,169,10.059,0.09811,0
BCL2,Subcutaneous metastasis,Metastatic_lesion,Mast_cells,94,5.319,0.07498,0
BCL2,Subcutaneous metastasis,Metastatic_lesion,Myeloid_cells,956,12.971,0.08319,0
BCL2,Subcutaneous metastasis,Metastatic_lesion,Pericyte_smooth_muscle,74,5.405,0.06125,0
BCL2,Subcutaneous metastasis,Metastatic_lesion,Plasma_cells,181,6.63,0.06357,0
BCL2,Subcutaneous metastasis,Metastatic_lesion,Proliferating_cells,545,9.358,0.07433,0
BCL2,Subcutaneous metastasis,Metastatic_lesion,T_NK_cells,2749,13.569,0.2156,0
BCL2,Subcutaneous metastasis,Metastatic_lesion,Thyroid_epithelial,4862,5.923,0.03918,0
BCL2,Paratumor,Primary_vs_paratumor,B_cells,13915,15.702,0.25131,0
BCL2,Paratumor,Primary_vs_paratumor,Dendritic_cells,2601,21.684,0.3716,0
BCL2,Paratumor,Primary_vs_paratumor,Endothelial_cells,1998,6.957,0.11941,0
BCL2,Paratumor,Primary_vs_paratumor,Fibroblasts,240,7.5,0.111,0
BCL2,Paratumor,Primary_vs_paratumor,Mast_cells,415,15.181,0.26369,0
BCL2,Paratumor,Primary_vs_paratumor,Myeloid_cells,1271,20.614,0.25663,0
BCL2,Paratumor,Primary_vs_paratumor,Pericyte_smooth_muscle,89,15.73,0.25087,0
BCL2,Paratumor,Primary_vs_paratumor,Plasma_cells,2549,13.142,0.1826,0
BCL2,Paratumor,Primary_vs_paratumor,Proliferating_cells,1399,12.366,0.19134,0
BCL2,Paratumor,Primary_vs_paratumor,T_NK_cells,19425,17.951,0.29518,0
BCL2,Paratumor,Primary_vs_paratumor,Thyroid_epithelial,6792,36.145,0.48852,0
BCL2,Primary tumor,Primary_vs_paratumor,B_cells,6209,12.095,0.21279,0
BCL2,Primary tumor,Primary_vs_paratumor,Dendritic_cells,1266,16.509,0.29998,0
