ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	IL1B/TLR9	2
BP	GO:0033599	regulation of mammary gland epithelial cell proliferation	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	BAX/GPX1	2
BP	GO:0048070	regulation of developmental pigmentation	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	BAX/BCL2	2
BP	GO:0048308	organelle inheritance	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	MAPK1/MAPK3	2
BP	GO:0048313	Golgi inheritance	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	MAPK1/MAPK3	2
BP	GO:0060148	positive regulation of post-transcriptional gene silencing	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	RIPK1/TGFB1	2
BP	GO:0061307	cardiac neural crest cell differentiation involved in heart development	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	MAPK1/MAPK3	2
BP	GO:0061308	cardiac neural crest cell development involved in heart development	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	MAPK1/MAPK3	2
BP	GO:0090280	positive regulation of calcium ion import	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	CASR/CCL2	2
BP	GO:1900370	positive regulation of post-transcriptional gene silencing by RNA	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	RIPK1/TGFB1	2
BP	GO:1902166	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	BCL2/KDM1A	2
BP	GO:2000402	negative regulation of lymphocyte migration	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	AKT1/CCL2	2
BP	GO:2000637	positive regulation of miRNA-mediated gene silencing	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	RIPK1/TGFB1	2
BP	GO:2000671	regulation of motor neuron apoptotic process	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	BAX/BCL2	2
BP	GO:2001279	regulation of unsaturated fatty acid biosynthetic process	2/74	15/18870	0.0015412250093645	0.0044827010606584	0.0017322104905509	IL1B/PTGS2	2
BP	GO:0003206	cardiac chamber morphogenesis	4/74	127/18870	0.0015649834737049	0.0045478034688421	0.0017573674378668	HIF1A/NOS3/TGFB1/TP53	4
BP	GO:0009914	hormone transport	6/74	319/18870	0.0015724285215384	0.0045654267960734	0.0017641774642093	CASR/CYP19A1/HIF1A/IL1B/IL6/TNF	6
BP	GO:0010948	negative regulation of cell cycle process	6/74	320/18870	0.0015975646600966	0.004634338886789	0.0017908065534231	BCL2/CCL2/CDKN1A/H2AX/MAPK14/TP53	6
BP	GO:0001755	neural crest cell migration	3/74	59/18870	0.0016076348414057	0.0046594639969576	0.0018005154273412	FN1/HIF1A/SHH	3
BP	GO:0098773	skin epidermis development	4/74	128/18870	0.0016107225585355	0.0046643253074229	0.0018023939405126	BCL2/RELA/SHH/TNF	4
BP	GO:0030198	extracellular matrix organization	6/74	321/18870	0.0016230061791324	0.004695784282057	0.0018145503536094	COL1A1/COL3A1/IL6/MMP2/TGFB1/TNF	6
BP	GO:0043062	extracellular structure organization	6/74	322/18870	0.0016487555103547	0.0047661140496006	0.0018417272631308	COL1A1/COL3A1/IL6/MMP2/TGFB1/TNF	6
BP	GO:0002456	T cell mediated immunity	4/74	129/18870	0.0016573844492922	0.0047868736889166	0.00184974922679	FADD/IL1B/IL1R1/IL6	4
BP	GO:0045229	external encapsulating structure organization	6/74	323/18870	0.0016748150922117	0.00483165370736	0.0018670531729298	COL1A1/COL3A1/IL6/MMP2/TGFB1/TNF	6
BP	GO:0042391	regulation of membrane potential	7/74	440/18870	0.0016758109471853	0.00483165370736	0.0018670531729298	AKT1/BAX/BCL2/MTOR/SOD1/SOD2/TNF	7
BP	GO:0001658	branching involved in ureteric bud morphogenesis	3/74	60/18870	0.0016875113061429	0.0048526955560129	0.0018751841882449	BCL2/MYC/SHH	3
BP	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	3/74	60/18870	0.0016875113061429	0.0048526955560129	0.0018751841882449	CASP8/RIPK1/TNFAIP3	3
BP	GO:0051785	positive regulation of nuclear division	3/74	60/18870	0.0016875113061429	0.0048526955560129	0.0018751841882449	IL1A/IL1B/TNF	3
BP	GO:0010810	regulation of cell-substrate adhesion	5/74	220/18870	0.0017261360348122	0.0049594542720453	0.0019164380138662	BCL2/CDKN2A/COL1A1/FN1/PIK3R1	5
BP	GO:0031647	regulation of protein stability	6/74	325/18870	0.0017278747949047	0.0049601405787761	0.0019167032173011	BCL2/CASP3/MAPK1/MTOR/PIK3R1/TP53	6
BP	GO:0019079	viral genome replication	4/74	131/18870	0.0017535156481174	0.0050001594179904	0.0019321673430969	BCL2/CCL2/CXCL8/TNF	4
BP	GO:0006206	pyrimidine nucleobase metabolic process	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	MAPK1/MTOR	2
BP	GO:0010715	regulation of extracellular matrix disassembly	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	IL6/TGFB1	2
BP	GO:0032930	positive regulation of superoxide anion generation	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	SOD1/TGFB1	2
BP	GO:0045779	negative regulation of bone resorption	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	IL6/TNFAIP3	2
BP	GO:0051044	positive regulation of membrane protein ectodomain proteolysis	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	IL1B/TNF	2
BP	GO:0090336	positive regulation of brown fat cell differentiation	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	MAPK14/PTGS2	2
BP	GO:0097152	mesenchymal cell apoptotic process	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	HIF1A/SHH	2
BP	GO:1903358	regulation of Golgi organization	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	MAPK1/MAPK3	2
BP	GO:2000345	regulation of hepatocyte proliferation	2/74	16/18870	0.001756935362475	0.0050001594179904	0.0019321673430969	TNF/TNFAIP3	2
BP	GO:0043583	ear development	5/74	221/18870	0.0017607675799866	0.005006696822241	0.0019346935343531	BCL2/MAPK1/MAPK3/SHH/SOD1	5
BP	GO:0003179	heart valve morphogenesis	3/74	61/18870	0.0017698302344118	0.005006696822241	0.0019346935343531	MTOR/NOS3/TGFB1	3
BP	GO:0034113	heterotypic cell-cell adhesion	3/74	61/18870	0.0017698302344118	0.005006696822241	0.0019346935343531	IL10/IL1B/TNF	3
BP	GO:0046456	icosanoid biosynthetic process	3/74	61/18870	0.0017698302344118	0.005006696822241	0.0019346935343531	IL1B/PTGS1/PTGS2	3
BP	GO:0048010	vascular endothelial growth factor receptor signaling pathway	3/74	61/18870	0.0017698302344118	0.005006696822241	0.0019346935343531	HIF1A/IL1B/MAPK14	3
BP	GO:0050994	regulation of lipid catabolic process	3/74	61/18870	0.0017698302344118	0.005006696822241	0.0019346935343531	AKT1/IL1B/TNF	3
BP	GO:0090497	mesenchymal cell migration	3/74	61/18870	0.0017698302344118	0.005006696822241	0.0019346935343531	FN1/HIF1A/SHH	3
BP	GO:0042326	negative regulation of phosphorylation	6/74	327/18870	0.0017822049269458	0.0050373946097521	0.001946555808648	AKT1/BAX/CDKN1A/CDKN2A/IL1B/TGFB1	6
