ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000302	response to reactive oxygen species	24/74	205/18870	2.01348781272181e-29	6.65860419667103e-26	2.57302547857293e-26	AKT1/AREG/BCL2/BECN1/CASP3/CAT/COL1A1/GPX1/HIF1A/HMOX1/IL1A/IL6/MAPK1/MAPK3/MAPK8/MMP2/NFE2L2/NOS3/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3	24
BP	GO:0006979	response to oxidative stress	28/74	400/18870	4.3124382980944e-28	7.130616725899081e-25	2.7554211020455803e-25	AKT1/AREG/BCL2/BECN1/CASP3/CAT/COL1A1/GPX1/GPX4/HIF1A/HMOX1/IL1A/IL6/MAPK1/MAPK3/MAPK8/MMP2/NFE2L2/NOS3/PTGS1/PTGS2/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3/TP53	28
BP	GO:0062197	cellular response to chemical stress	24/74	317/18870	8.758719446498651e-25	9.65502840319035e-22	3.7309071607190697e-22	AKT1/BECN1/CASP3/CAT/DDIT3/GPX1/HIF1A/HMOX1/IL6/MAPK1/MAPK3/MAPK8/MMP2/MTOR/NFE2L2/NOS3/PTGS2/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3/TP53	24
BP	GO:2001233	regulation of apoptotic signaling pathway	25/74	398/18870	8.14844618951459e-24	6.73672788718119e-21	2.60321412475545e-21	AKT1/BAX/BCL2/BECN1/DDIT3/FADD/GPX1/HIF1A/HMOX1/IL10/IL1A/IL1B/KDM1A/MCL1/MYC/NFE2L2/NOS3/PTGS2/RELA/RIPK1/SOD1/SOD2/TNF/TNFAIP3/TP53	25
BP	GO:0032496	response to lipopolysaccharide	23/74	348/18870	2.20675728917083e-22	1.45954927105759e-19	5.640007050638711e-20	AKT1/CASP3/CASP8/CASP9/CCL2/CXCL1/CXCL8/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/PTGS2/RELA/SOD2/TLR9/TNF/TNFAIP3	23
BP	GO:0042542	response to hydrogen peroxide	16/74	101/18870	6.846647530862919e-22	3.4680624084015203e-19	1.34013265761605e-19	AREG/BCL2/BECN1/CASP3/CAT/COL1A1/GPX1/HMOX1/IL6/MMP2/NFE2L2/RELA/RIPK1/SOD1/SOD2/TNFAIP3	16
BP	GO:0097193	intrinsic apoptotic signaling pathway	22/74	319/18870	8.2965796596285005e-22	3.4680624084015203e-19	1.34013265761605e-19	AKT1/BAX/BCL2/BECN1/CASP3/CASP9/CDKN1A/CYCS/DDIT3/GPX1/HIF1A/IL10/KDM1A/MCL1/MYC/NFE2L2/PIK3R1/PTGS2/SOD1/SOD2/TNF/TP53	22
BP	GO:0002237	response to molecule of bacterial origin	23/74	369/18870	8.38962784010045e-22	3.4680624084015203e-19	1.34013265761605e-19	AKT1/CASP3/CASP8/CASP9/CCL2/CXCL1/CXCL8/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/PTGS2/RELA/SOD2/TLR9/TNF/TNFAIP3	23
BP	GO:0048732	gland development	24/74	443/18870	2.51846534064477e-21	9.253960979458071e-19	3.57592622636579e-19	AKT1/AREG/BAX/BCL2/CDH1/CYP19A1/ESR1/FADD/GPX1/HIF1A/IL10/IL6/MAPK1/MAPK3/MMP2/NFKB1/PGR/RELA/SHH/SOD1/SOD2/TGFB1/TNF/TNFAIP3	24
BP	GO:0034599	cellular response to oxidative stress	20/74	255/18870	5.98951930496792e-21	1.98073403415289e-18	7.65397519603269e-19	AKT1/BECN1/CAT/GPX1/HIF1A/HMOX1/IL6/MAPK1/MAPK3/MAPK8/MMP2/NFE2L2/NOS3/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3/TP53	20
BP	GO:0071216	cellular response to biotic stimulus	20/74	265/18870	1.2953051331077501e-20	3.8941582501703e-18	1.50478510200269e-18	AKT1/CCL2/CXCL1/CXCL8/DDIT3/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/RELA/TLR9/TNF/TNFAIP3/TP53	20
BP	GO:2001234	negative regulation of apoptotic signaling pathway	19/74	243/18870	6.86365206501748e-20	1.89150811491773e-17	7.30918737450107e-18	AKT1/BAX/BCL2/GPX1/HIF1A/HMOX1/IL10/IL1A/IL1B/KDM1A/MCL1/NFE2L2/NOS3/PTGS2/RELA/RIPK1/SOD2/TNF/TNFAIP3	19
BP	GO:0070482	response to oxygen levels	21/74	343/18870	9.663634559939501e-20	2.45827996074769e-17	9.499313648393969e-18	AKT1/BCL2/BECN1/CASP3/CASP9/CASR/CAT/CDKN1A/COL1A1/HIF1A/HMOX1/IL1A/MMP2/MTOR/MYC/NFE2L2/PTGS2/SOD2/TGFB1/TNF/TP53	21
BP	GO:0032355	response to estradiol	15/74	113/18870	2.37554391261144e-19	5.46597380422491e-17	2.11216787303775e-17	AREG/CASP3/CASP8/CASP9/CAT/COL1A1/CYP19A1/ESR1/ESR2/GPX1/GPX4/IL10/MMP2/PTGS2/TGFB1	15
BP	GO:0010038	response to metal ion	21/74	359/18870	2.47927448029554e-19	5.46597380422491e-17	2.11216787303775e-17	AKT1/BCL2/BECN1/CASP3/CASP8/CASP9/CASR/CAT/CDH1/CYP1A2/HIF1A/HMOX1/IL1A/MAPK1/MAPK3/MAPK8/NFE2L2/PTGS2/SHH/SOD2/TLR9	21
BP	GO:0071222	cellular response to lipopolysaccharide	18/74	226/18870	5.21573433556728e-19	1.07802709048256e-16	4.16572466011755e-17	AKT1/CCL2/CXCL1/CXCL8/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/RELA/TLR9/TNF/TNFAIP3	18
BP	GO:0031667	response to nutrient levels	23/74	495/18870	6.19199712057871e-19	1.16134146206625e-16	4.48766901134253e-17	AKT1/BAX/BCL2/BECN1/CASR/CAT/CDKN1A/COL1A1/DDIT3/GPT/GPX1/IL1A/MAPK1/MAPK14/MAPK3/MAPK8/MTOR/NFE2L2/PTGS2/RELA/SOD2/TNF/TP53	23
BP	GO:0009411	response to UV	16/74	152/18870	6.32118122684986e-19	1.16134146206625e-16	4.48766901134253e-17	AKT1/BAX/BCL2/CASP3/CASP9/CAT/CDKN1A/GPX1/KDM1A/MAPK14/MAPK8/MMP2/MYC/PIK3R1/RELA/TP53	16
BP	GO:0034614	cellular response to reactive oxygen species	16/74	154/18870	7.83210502808108e-19	1.3631984909402199e-16	5.2676872598839e-17	AKT1/BECN1/CAT/IL6/MAPK1/MAPK3/MAPK8/MMP2/NFE2L2/NOS3/RELA/RIPK1/SOD1/SOD2/SQSTM1/TNFAIP3	16
BP	GO:0071214	cellular response to abiotic stimulus	20/74	334/18870	1.2787879125093698e-18	2.01378648888976e-16	7.78169687110966e-17	BAX/CASP3/CASP8/CASP9/CDKN1A/COL1A1/FADD/H2AX/IL1B/KDM1A/MAPK14/MAPK3/MAPK8/MMP2/MTOR/MYC/NFKB1/PIK3R1/PTGS2/TP53	20
BP	GO:0104004	cellular response to environmental stimulus	20/74	334/18870	1.2787879125093698e-18	2.01378648888976e-16	7.78169687110966e-17	BAX/CASP3/CASP8/CASP9/CDKN1A/COL1A1/FADD/H2AX/IL1B/KDM1A/MAPK14/MAPK3/MAPK8/MMP2/MTOR/MYC/NFKB1/PIK3R1/PTGS2/TP53	20
BP	GO:0071219	cellular response to molecule of bacterial origin	18/74	239/18870	1.4299257576074001e-18	2.14943840018531e-16	8.30588454418846e-17	AKT1/CCL2/CXCL1/CXCL8/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/RELA/TLR9/TNF/TNFAIP3	18
BP	GO:0009314	response to radiation	21/74	428/18870	9.08244576591064e-18	1.2663301861297101e-15	4.89336764426804e-16	AKT1/BAX/BCL2/CASP3/CASP9/CAT/CDKN1A/COL3A1/GPX1/H2AX/HIF1A/IL1A/KDM1A/MAPK14/MAPK8/MMP2/MYC/PIK3R1/RELA/SOD2/TP53	21
BP	GO:0036293	response to decreased oxygen levels	19/74	315/18870	9.19017976023981e-18	1.2663301861297101e-15	4.89336764426804e-16	AKT1/BCL2/BECN1/CASP3/CASP9/CASR/CAT/HIF1A/HMOX1/IL1A/MMP2/MTOR/MYC/NFE2L2/PTGS2/SOD2/TGFB1/TNF/TP53	19
BP	GO:0009410	response to xenobiotic stimulus	21/74	434/18870	1.20524807748976e-17	1.5943021569034601e-15	6.16072069925293e-16	BCL2/BECN1/CASP3/CAT/CDH1/CDKN1A/COL1A1/CYP1A2/CYP2D6/GPX1/IL10/IL1B/MMP2/MYC/NFE2L2/PTGS2/RELA/SOD1/SOD2/TNF/TP53	21
BP	GO:0097191	extrinsic apoptotic signaling pathway	17/74	229/18870	1.83727257057517e-17	2.33686938111235e-15	9.03015749262454e-16	AKT1/BAX/BCL2/CASP8/FADD/GPX1/HMOX1/IL1A/IL1B/MCL1/NOS3/PIK3R1/RELA/RIPK1/TGFB1/TNF/TNFAIP3	17
BP	GO:2001242	regulation of intrinsic apoptotic signaling pathway	16/74	190/18870	2.37844347872623e-17	2.9131528089435803e-15	1.12570385308914e-15	AKT1/BAX/BCL2/BECN1/DDIT3/GPX1/HIF1A/IL10/KDM1A/MCL1/MYC/NFE2L2/PTGS2/SOD1/SOD2/TP53	16
BP	GO:0051090	regulation of DNA-binding transcription factor activity	20/74	406/18870	5.76840025498467e-17	6.81289272972654e-15	2.6326458306584202e-15	AKT1/CDKN2A/DDIT3/ESR1/ESR2/HDAC4/HMOX1/ID1/IL10/IL1B/IL6/KDM1A/RELA/RIPK1/SGK1/SHH/TGFB1/TLR9/TNF/TNFAIP3	20
BP	GO:0001666	response to hypoxia	18/74	298/18870	7.3224359967734e-17	8.3501020142516e-15	3.2266560072896204e-15	BCL2/BECN1/CASP3/CASP9/CASR/CAT/HIF1A/HMOX1/IL1A/MMP2/MTOR/MYC/NFE2L2/PTGS2/SOD2/TGFB1/TNF/TP53	18
BP	GO:0034612	response to tumor necrosis factor	17/74	259/18870	1.4681164461663499e-16	1.61835369582404e-14	6.25366093209103e-15	AKT1/CASP3/CASP8/CCL2/COL1A1/CXCL8/MAPK1/MAPK14/MAPK3/NFE2L2/NFKB1/PTGS2/RELA/RIPK1/TNF/TNFAIP3/TP53	17
BP	GO:0048545	response to steroid hormone	18/74	330/18870	4.41384926409456e-16	4.70858048914861e-14	1.81949507864543e-14	AREG/BCL2/CASP3/CASP9/CDKN1A/COL1A1/ESR1/ESR2/IL10/IL6/KDM1A/MAPK1/PGR/PTGS2/RELA/SGK1/TGFB1/TNF	18
BP	GO:0051402	neuron apoptotic process	17/74	278/18870	4.80663794897163e-16	4.9673599053903705e-14	1.9194929177801202e-14	BAX/BCL2/CASP3/CASP8/CASP9/CCL2/DDIT3/FADD/GPX1/HIF1A/IL10/MCL1/RIPK1/SOD1/SOD2/TNF/TP53	17
BP	GO:0072593	reactive oxygen species metabolic process	16/74	234/18870	6.63921763403277e-16	6.65330082295345e-14	2.57097614281205e-14	BCL2/BECN1/CAT/CDKN1A/CYP1A2/GPX1/HIF1A/MAPK14/NFE2L2/NOS3/RIPK1/SOD1/SOD2/TGFB1/TNF/TP53	16
BP	GO:0071887	leukocyte apoptotic process	13/74	121/18870	1.2057267623447902e-15	1.17274658913948e-13	4.53174083432378e-14	AKT1/BAX/BCL2/CASP3/CASP9/CDKN2A/CXCR2/FADD/HIF1A/IL10/IL6/RIPK1/TP53	13
BP	GO:0033002	muscle cell proliferation	16/74	247/18870	1.56152634122888e-15	1.47541931726969e-13	5.70133226541914e-14	AKT1/CDKN1A/DDIT3/HMOX1/IL10/IL6/MAPK14/MFN2/MMP2/NOS3/PTGS2/SHH/SOD2/TGFB1/TNF/TNFAIP3	16
BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	12/74	99/18870	3.67081666440783e-15	3.37205297477686e-13	1.30303258204418e-13	AKT1/BCL2/GPX1/HMOX1/IL1A/IL1B/MCL1/NOS3/RELA/RIPK1/TNF/TNFAIP3	12
BP	GO:0009416	response to light stimulus	17/74	318/18870	4.4858809909990806e-15	4.00940768573891e-13	1.54931992121562e-13	AKT1/BAX/BCL2/CASP3/CASP9/CAT/CDKN1A/GPX1/HIF1A/KDM1A/MAPK14/MAPK8/MMP2/MYC/PIK3R1/RELA/TP53	17
BP	GO:0010332	response to gamma radiation	10/74	51/18870	5.1388168031423106e-15	4.47212293894517e-13	1.72812288061351e-13	BAX/BCL2/CDKN1A/GPX1/H2AX/IL1A/KDM1A/MYC/SOD2/TP53	10
BP	GO:0048659	smooth muscle cell proliferation	14/74	175/18870	5.7855224243556605e-15	4.90582632239594e-13	1.8957150399912998e-13	AKT1/CDKN1A/DDIT3/HMOX1/IL10/IL6/MFN2/MMP2/NOS3/PTGS2/SOD2/TGFB1/TNF/TNFAIP3	14
BP	GO:0050900	leukocyte migration	18/74	396/18870	1.05390594182285e-14	8.71316737402039e-13	3.3669521404550996e-13	AKT1/CCL2/CXCL1/CXCL8/CXCR2/CYP19A1/FADD/HMOX1/IL10/IL1A/IL1B/IL1R1/IL6/MAPK1/MAPK3/MMP2/PIK3R1/TNF	18
BP	GO:1904019	epithelial cell apoptotic process	13/74	144/18870	1.20600552069851e-14	9.72746404134138e-13	3.75889782317841e-13	BAX/BCL2/CASP3/CASP9/CCL2/ESR1/HMOX1/IL10/IL6/NFE2L2/TGFB1/TNF/TNFAIP3	13
BP	GO:0043523	regulation of neuron apoptotic process	15/74	232/18870	1.3501616577728601e-14	1.06309157196544e-12	4.10801065798559e-13	BAX/BCL2/CASP3/CASP8/CASP9/CCL2/DDIT3/HIF1A/IL10/MCL1/RIPK1/SOD1/SOD2/TNF/TP53	15
BP	GO:0071356	cellular response to tumor necrosis factor	15/74	238/18870	1.9686553060051902e-14	1.5140332783625999e-12	5.85054477721003e-13	AKT1/CASP8/CCL2/COL1A1/CXCL8/MAPK1/MAPK14/MAPK3/NFE2L2/NFKB1/RELA/RIPK1/TNF/TNFAIP3/TP53	15
BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	13/74	158/18870	4.0632827096745903e-14	3.0539263456576996e-12	1.18010172477152e-12	AKT1/BCL2/FADD/GPX1/HMOX1/IL1A/IL1B/MCL1/NOS3/RELA/RIPK1/TNF/TNFAIP3	13
BP	GO:0001819	positive regulation of cytokine production	19/74	499/18870	4.2032210195251504e-14	3.08890042479326e-12	1.19361644858562e-12	CASP8/DDIT3/FADD/HIF1A/HMOX1/IL10/IL1A/IL1B/IL1R1/IL6/MAPK14/PIK3R1/PTGS2/RELA/RIPK1/SOD1/TGFB1/TLR9/TNF	19
BP	GO:0022612	gland morphogenesis	12/74	122/18870	4.80561617482435e-14	3.45482015003133e-12	1.3350155689328998e-12	AREG/BAX/BCL2/ESR1/IL6/MMP2/NFKB1/PGR/SHH/TGFB1/TNF/TNFAIP3	12
BP	GO:0009636	response to toxic substance	15/74	258/18870	6.44949269806502e-14	4.53797284095766e-12	1.7535686753529499e-12	BAX/BCL2/CAT/CDH1/CDKN1A/GPX1/GPX4/KDM1A/NFE2L2/NOS3/PTGS1/PTGS2/SOD1/SOD2/TNF	15
BP	GO:0048660	regulation of smooth muscle cell proliferation	13/74	171/18870	1.13603022285514e-13	7.82677488954571e-12	3.02443133891697e-12	AKT1/CDKN1A/HMOX1/IL10/IL6/MFN2/MMP2/NOS3/PTGS2/SOD2/TGFB1/TNF/TNFAIP3	13
BP	GO:0010212	response to ionizing radiation	12/74	138/18870	2.14660402598745e-13	1.4487386763143899e-11	5.59823262631314e-12	BAX/BCL2/CASP3/CDKN1A/GPX1/H2AX/IL1A/KDM1A/MAPK14/MYC/SOD2/TP53	12
BP	GO:0002685	regulation of leukocyte migration	14/74	230/18870	2.56479975867153e-13	1.69635856038535e-11	6.5550882253205e-12	AKT1/CCL2/CXCL8/CXCR2/CYP19A1/FADD/HMOX1/IL1A/IL1R1/IL6/MAPK1/MAPK3/PIK3R1/TNF	14
BP	GO:0050673	epithelial cell proliferation	18/74	480/18870	2.83242669073924e-13	1.83663432672052e-11	7.09714345213092e-12	AKT1/AREG/BAX/CCL2/CDKN1A/ESR1/GPX1/HIF1A/HMOX1/IL10/IL6/MAPK1/MYC/PGR/SHH/TGFB1/TNF/TNFAIP3	18
BP	GO:0071496	cellular response to external stimulus	16/74	346/18870	2.96609076773763e-13	1.8863196478669898e-11	7.28913804055362e-12	BCL2/BECN1/CASP8/CASR/CDKN1A/COL1A1/FADD/IL1B/MAPK1/MAPK3/MAPK8/MTOR/NFE2L2/NFKB1/PTGS2/TP53	16
BP	GO:0035094	response to nicotine	9/74	51/18870	3.53690517162264e-13	2.20689535897285e-11	8.5279103840117e-12	BCL2/CASP3/GPX1/HMOX1/MAPK1/MMP2/NFKB1/RELA/TNF	9
BP	GO:2000377	regulation of reactive oxygen species metabolic process	12/74	147/18870	4.59757951786168e-13	2.8155917528830697e-11	1.08800419779417e-11	BCL2/BECN1/CDKN1A/HIF1A/MAPK14/NFE2L2/RIPK1/SOD1/SOD2/TGFB1/TNF/TP53	12
BP	GO:0050727	regulation of inflammatory response	17/74	425/18870	5.08857716455591e-13	3.0596226696702495e-11	1.1823029048365299e-11	CYP19A1/ESR1/GPX1/IL10/IL1B/IL1R1/IL6/MAPK14/NFKB1/PTGS2/RELA/RIPK1/SOD1/TGFB1/TLR9/TNF/TNFAIP3	17
BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	14/74	244/18870	5.75894079362935e-13	3.40086021509505e-11	1.3141643089221899e-11	AKT1/DDIT3/ESR1/ESR2/HDAC4/IL10/IL1B/IL6/RELA/RIPK1/SHH/TGFB1/TLR9/TNF	14
BP	GO:0043434	response to peptide hormone	17/74	430/18870	6.14175311011668e-13	3.5632943044133094e-11	1.3769322762108299e-11	AKT1/AREG/CAT/COL1A1/COL3A1/GPT/IL10/IL1B/MAPK1/MAPK14/MAPK3/MTOR/NFE2L2/NFKB1/PIK3R1/PTGS2/RELA	17
BP	GO:0043525	positive regulation of neuron apoptotic process	9/74	56/18870	8.67176135065981e-13	4.94439910114344e-11	1.9106203774412e-11	BAX/CASP3/CASP8/CASP9/DDIT3/MCL1/RIPK1/TNF/TP53	9
BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	10/74	86/18870	1.27790191711865e-12	7.16274854222267e-11	2.7678375154006096e-11	BAX/BCL2/CASP8/FADD/GPX1/HMOX1/NOS3/PIK3R1/TNF/TNFAIP3	10
BP	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	9/74	63/18870	2.65077884525307e-12	1.46102094020865e-10	5.645693891468819e-11	AKT1/BCL2/GPX1/HIF1A/IL10/MCL1/NFE2L2/SOD1/SOD2	9
BP	GO:0042063	gliogenesis	15/74	338/18870	3.22907454053974e-12	1.75058188615818e-10	6.764618623322249e-11	AKT1/AREG/CCL2/COL3A1/IL1B/IL6/MAPK1/MAPK3/MTOR/RELA/SHH/SOD1/TGFB1/TNF/TP53	15
BP	GO:0038034	signal transduction in absence of ligand	9/74	67/18870	4.729667952987e-12	2.48270030484572e-10	9.593679022433119e-11	AKT1/BAX/BCL2/FADD/IL1A/IL1B/MCL1/RIPK1/TNF	9
BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	9/74	67/18870	4.729667952987e-12	2.48270030484572e-10	9.593679022433119e-11	AKT1/BAX/BCL2/FADD/IL1A/IL1B/MCL1/RIPK1/TNF	9
BP	GO:0070661	leukocyte proliferation	15/74	350/18870	5.31625467769049e-12	2.74700847173788e-10	1.06150216755201e-10	BAX/BCL2/CASP3/CDKN1A/FADD/IL10/IL1A/IL1B/IL6/MAPK1/MAPK3/SHH/TLR9/TNFAIP3/TP53	15
BP	GO:0042060	wound healing	16/74	423/18870	6.2836919442459396e-12	3.19694911686482e-10	1.23536874822908e-10	CDKN1A/COL3A1/FN1/GPX1/HIF1A/HMOX1/IL1A/IL6/MAPK14/MTOR/NFE2L2/NOS3/SHH/TGFB1/TNF/TNFAIP3	16
BP	GO:0010506	regulation of autophagy	15/74	355/18870	6.507827488739329e-12	3.2608159856456005e-10	1.26004825699036e-10	AKT1/BCL2/BECN1/CASP3/DDIT3/HIF1A/HMOX1/IL10/MAPK3/MAPK8/MCL1/MTOR/SQSTM1/TLR9/TP53	15
BP	GO:0070555	response to interleukin-1	11/74	140/18870	7.06603264803401e-12	3.48766715926097e-10	1.34770834795181e-10	CCL2/CXCL8/HDAC4/HIF1A/IL1B/IL1R1/IL6/MAPK3/MMP2/NFKB1/RELA	11
BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	10/74	102/18870	7.315976619050749e-12	3.55793157047071e-10	1.37486000240365e-10	BAX/BCL2/CASP9/CDKN1A/KDM1A/MCL1/PIK3R1/SOD2/TNF/TP53	10
BP	GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	8/74	46/18870	8.775184340060129e-12	4.20572965399693e-10	1.62518288159161e-10	AKT1/GPX1/HIF1A/IL10/MCL1/NFE2L2/SOD1/SOD2	8
BP	GO:0007249	canonical NF-kappaB signal transduction	14/74	300/18870	9.43758260028327e-12	4.45858366559097e-10	1.72289101905923e-10	AKT1/CASP8/ESR1/FADD/HMOX1/IL1A/IL1B/NFKB1/RELA/RIPK1/SQSTM1/TLR9/TNF/TNFAIP3	14
BP	GO:0097529	myeloid leukocyte migration	13/74	242/18870	9.62352736766161e-12	4.48239507110661e-10	1.732092249717e-10	CCL2/CXCL1/CXCL8/CXCR2/CYP19A1/IL1A/IL1B/IL1R1/IL6/MAPK1/MAPK3/MMP2/PIK3R1	13
BP	GO:0010720	positive regulation of cell development	16/74	444/18870	1.3001196635463199e-11	5.97152184353843e-10	2.30752232682051e-10	BCL2/CASP8/FADD/FN1/HIF1A/IL10/IL1B/IL6/KDM1A/MTOR/RELA/RIPK1/SHH/TGFB1/TLR9/TNF	16
BP	GO:0071347	cellular response to interleukin-1	10/74	111/18870	1.7215729480689097e-11	7.798961286662841e-10	3.01368357455754e-10	CCL2/CXCL8/HIF1A/IL1B/IL1R1/IL6/MAPK3/MMP2/NFKB1/RELA	10
BP	GO:0071248	cellular response to metal ion	12/74	200/18870	1.7820212705351897e-11	7.96370856981063e-10	3.07734540886162e-10	AKT1/BECN1/CDH1/CYP1A2/HMOX1/MAPK1/MAPK3/MAPK8/NFE2L2/PTGS2/SHH/TLR9	12
BP	GO:0010575	positive regulation of vascular endothelial growth factor production	7/74	30/18870	2.0198761297553097e-11	8.906307148134401e-10	3.44158543371641e-10	HIF1A/IL1A/IL1B/IL6/PTGS2/RELA/TGFB1	7
BP	GO:1904035	regulation of epithelial cell apoptotic process	10/74	113/18870	2.06107970050354e-11	8.96840864416474e-10	3.4655827651126e-10	BAX/BCL2/CCL2/ESR1/HMOX1/IL6/NFE2L2/TGFB1/TNF/TNFAIP3	10
BP	GO:0072594	establishment of protein localization to organelle	16/74	459/18870	2.13584148262058e-11	9.173023094839301e-10	3.54465011606478e-10	AKT1/BAX/BECN1/CDH1/CDKN1A/DDIT3/MAPK14/MAPK8/MFN2/PIK3R1/PTGS2/SHH/SQSTM1/TGFB1/TNFAIP3/TP53	16
BP	GO:0036294	cellular response to decreased oxygen levels	11/74	158/18870	2.6505572582583797e-11	1.1237683144949301e-9	4.34247842311157e-10	AKT1/BCL2/CASR/HIF1A/HMOX1/MTOR/MYC/NFE2L2/PTGS2/TGFB1/TP53	11
BP	GO:0060485	mesenchyme development	14/74	327/18870	2.98387873609557e-11	1.2490743012997502e-9	4.82668725598937e-10	ACTA2/BCL2/COL1A1/FN1/HIF1A/IL1B/IL6/MAPK1/MAPK3/MTOR/MYC/NOS3/SHH/TGFB1	14
BP	GO:0050867	positive regulation of cell activation	15/74	396/18870	3.0624103576535e-11	1.2659238815950201e-9	4.891797597620201e-10	ACTA2/AKT1/BCL2/CCL2/CDKN1A/FADD/IL10/IL1A/IL1B/IL6/MTOR/SHH/TGFB1/TLR9/TNF	15
BP	GO:0070663	regulation of leukocyte proliferation	13/74	267/18870	3.30375939035014e-11	1.3488311486281401e-9	5.21216881076682e-10	BCL2/CASP3/CDKN1A/FADD/IL10/IL1A/IL1B/IL6/MAPK1/MAPK3/SHH/TLR9/TNFAIP3	13
BP	GO:0009612	response to mechanical stimulus	12/74	213/18870	3.7233424743980094e-11	1.5015967759553902e-9	5.80248750182181e-10	CASP8/COL1A1/FADD/IL1B/MAPK14/MAPK3/MAPK8/MMP2/NFKB1/PTGS2/RELA/TNF	12
BP	GO:1903131	mononuclear cell differentiation	16/74	481/18870	4.2854285609622493e-11	1.7074593073617102e-9	6.59798385923674e-10	BAX/BCL2/FADD/HDAC4/IL10/IL1A/IL1B/IL6/MTOR/MYC/PIK3R1/SHH/SOD1/TGFB1/TLR9/TP53	16
BP	GO:0033273	response to vitamin	9/74	86/18870	4.7948778750195694e-11	1.86548954502232e-9	7.20864611798607e-10	BECN1/CASR/CAT/COL1A1/GPX1/IL1A/PTGS2/RELA/SOD2	9
BP	GO:2000628	regulation of miRNA metabolic process	9/74	86/18870	4.7948778750195694e-11	1.86548954502232e-9	7.20864611798607e-10	ESR1/HIF1A/IL10/MYC/NFKB1/RELA/TGFB1/TNF/TP53	9
BP	GO:0042113	B cell activation	13/74	278/18870	5.46547227453745e-11	2.10166474556922e-9	8.12127703952076e-10	BAX/BCL2/CASP3/CASP8/CDKN1A/HDAC4/IL10/IL6/PIK3R1/TGFB1/TLR9/TNFAIP3/TP53	13
BP	GO:1901099	negative regulation of signal transduction in absence of ligand	7/74	35/18870	6.56889142302836e-11	2.46855953817668e-9	9.53903610951726e-10	AKT1/BCL2/IL1A/IL1B/MCL1/RIPK1/TNF	7
BP	GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	7/74	35/18870	6.56889142302836e-11	2.46855953817668e-9	9.53903610951726e-10	AKT1/BCL2/IL1A/IL1B/MCL1/RIPK1/TNF	7
BP	GO:0009895	negative regulation of catabolic process	14/74	349/18870	7.075364776334939e-11	2.6123470507163904e-9	1.0094661466330401e-9	AKT1/BCL2/BECN1/HDAC4/HMOX1/IL10/IL1B/MAPK14/MCL1/MTOR/RELA/SHH/TNF/TP53	14
BP	GO:0046686	response to cadmium ion	8/74	59/18870	7.16129585059735e-11	2.6123470507163904e-9	1.0094661466330401e-9	AKT1/CAT/CYP1A2/HMOX1/MAPK1/MAPK3/MAPK8/SOD2	8
BP	GO:0097237	cellular response to toxic substance	10/74	128/18870	7.188496571369569e-11	2.6123470507163904e-9	1.0094661466330401e-9	CAT/GPX1/GPX4/NFE2L2/NOS3/PTGS1/PTGS2/SOD1/SOD2/TNF	10
BP	GO:0034644	cellular response to UV	9/74	90/18870	7.272973672941679e-11	2.6143178191758902e-9	1.01022769324384e-9	BAX/CASP9/CDKN1A/KDM1A/MAPK14/MMP2/MYC/PIK3R1/TP53	9
BP	GO:0071453	cellular response to oxygen levels	11/74	174/18870	7.53824828187495e-11	2.68053624388822e-9	1.03581589294807e-9	AKT1/BCL2/CASR/HIF1A/HMOX1/MTOR/MYC/NFE2L2/PTGS2/TGFB1/TP53	11
BP	GO:0007548	sex differentiation	13/74	288/18870	8.478617513903759e-11	2.9828497998382703e-9	1.15263624433137e-9	BAX/BCL2/CASP3/CYP17A1/CYP19A1/ESR1/IL1A/MMP2/NOS3/PGR/SHH/SOD1/TLR9	13
BP	GO:0071241	cellular response to inorganic substance	12/74	229/18870	8.647522197669569e-11	3.0102479902835e-9	1.1632234845397101e-9	AKT1/BECN1/CDH1/CYP1A2/HMOX1/MAPK1/MAPK3/MAPK8/NFE2L2/PTGS2/SHH/TLR9	12
