"Rank","Gene","Relevance_score"
"187","SLC16A2","52.8168144226074"
"188","MUC16","52.645435333252"
"189","IL1B","52.5759353637695"
"190","ZFAS1","52.556209564209"
"191","DGCR5","51.9646072387695"
"192","MUC1","51.9495391845703"
"193","IGF1","51.9350891113281"
"194","AGO2","51.7508850097656"
"195","NORAD","51.5807800292969"
"196","MIAT","51.5276336669922"
"197","PCAT1","51.5080833435059"
"198","SMARCE1","51.4540328979492"
"199","WT1","50.9370346069336"
"200","PTCSC3","50.9183387756348"
"201","TUG1","50.7965240478516"
"202","LIFR-AS1","50.7859840393066"
"203","RNF43","50.7583847045898"
"204","ERBB4","50.7137336730957"
"205","PTGS2","50.7006950378418"
"206","BICDL3P","50.6613235473633"
"207","DUOXA2","50.6259536743164"
"208","STAT1","50.5652847290039"
"209","CDKN2B","50.4615936279297"
"210","KDR","50.3772888183594"
"211","AGAP2-AS1","50.3762550354004"
"212","CASP3","50.1806945800781"
"213","FANCD2","49.9782524108887"
"214","DLC1","49.887767791748"
"215","HOTTIP","49.8869171142578"
"216","BLACAT1","49.7916564941406"
"217","TNF","49.7845993041992"
"218","PHOX2B","49.7297325134277"
"219","SNHG14","49.7110595703125"
"220","MMP2","49.6550827026367"
"221","BANCR","49.5692977905273"
"222","MIR143","49.5578231811523"
"223","NFE2L2","49.5007362365723"
"224","TMPO-AS1","49.3204727172852"
"225","MINPP1","49.2996635437012"
"226","RASSF1","49.1474342346191"
"227","TNFSF10","49.1175651550293"
"228","DLX6-AS1","49.0898971557617"
"229","BIRC5","48.9110145568848"
"230","IYD","48.9073181152344"
"231","CCNE1","48.6309242248535"
"232","GALNT12","48.5806083679199"
"233","MIR18A","48.3764724731445"
"234","DLEU2","48.3516616821289"
"235","SMAD3","48.332462310791"
"236","SNHG15","48.2548751831055"
"237","RAF1","48.0778541564941"
"238","MIR19A","48.0421600341797"
"239","ESR2","48.0184783935547"
"240","HCP5","47.6486663818359"
"241","FANCA","47.6064071655273"
"242","CDK6","47.5858917236328"
"243","CD44","47.4581260681152"
"244","IL2","47.4181747436523"
"245","FBXW7","47.3171119689941"
"246","CERS6-AS1","47.2696685791016"
"247","LINC00460","47.2128143310547"
"248","PTK2","47.1552581787109"
"249","KMT2D","47.0240936279297"
"250","MIR31","46.9540824890137"
