Gene,GeneCards_rank,GeneCards_relevance_score,In_GeneCards_top2000,In_OMIM,Disease_source_pattern
LZTR1,94,77.488639831543,Yes,No,"GeneCards top 2,000"
UCA1,95,76.2318572998047,Yes,No,"GeneCards top 2,000"
MLH3,96,76.0530776977539,Yes,No,"GeneCards top 2,000"
SLC26A4,97,74.6208038330078,Yes,No,"GeneCards top 2,000"
AR,98,74.3010787963867,Yes,No,"GeneCards top 2,000"
NTHL1,99,74.2009811401367,Yes,No,"GeneCards top 2,000"
HIF1A,100,73.9736862182617,Yes,No,"GeneCards top 2,000"
SDHC,101,72.8556518554688,Yes,No,"GeneCards top 2,000"
NF2,102,72.7066040039063,Yes,No,"GeneCards top 2,000"
FGFR3,103,72.6752853393555,Yes,No,"GeneCards top 2,000"
GNAS,104,72.6610488891602,Yes,No,"GeneCards top 2,000"
PPARG,105,72.4641952514648,Yes,No,"GeneCards top 2,000"
CDC73,106,72.3251419067383,Yes,No,"GeneCards top 2,000"
TSHB,107,72.2585525512695,Yes,No,"GeneCards top 2,000"
SMARCB1,108,71.5641784667969,Yes,No,"GeneCards top 2,000"
POT1,109,71.3042984008789,Yes,No,"GeneCards top 2,000"
ATR,110,71.0195159912109,Yes,No,"GeneCards top 2,000"
MDM2,111,70.873649597168,Yes,No,"GeneCards top 2,000"
NEAT1,112,70.5686187744141,Yes,No,"GeneCards top 2,000"
MIR221,113,70.3014373779297,Yes,No,"GeneCards top 2,000"
MIR21,114,69.8097839355469,Yes,No,"GeneCards top 2,000"
MALAT1,115,69.1435089111328,Yes,No,"GeneCards top 2,000"
HOTAIR,116,69.0848236083984,Yes,No,"GeneCards top 2,000"
VEGFA,117,68.9668350219727,Yes,No,"GeneCards top 2,000"
CDKN2B-AS1,118,68.4282760620117,Yes,No,"GeneCards top 2,000"
TGFBR2,119,67.8551330566406,Yes,No,"GeneCards top 2,000"
FGFR1,120,67.3163604736328,Yes,No,"GeneCards top 2,000"
CASC2,121,66.9572067260742,Yes,No,"GeneCards top 2,000"
MIR222,122,66.6417541503906,Yes,No,"GeneCards top 2,000"
BCL2,123,65.5153045654297,Yes,No,"GeneCards top 2,000"
AFAP1-AS1,124,65.4914627075195,Yes,No,"GeneCards top 2,000"
TMEM127,125,65.3711395263672,Yes,No,"GeneCards top 2,000"
IL6,126,64.993293762207,Yes,No,"GeneCards top 2,000"
MIR146A,127,64.8144836425781,Yes,No,"GeneCards top 2,000"
XRCC2,128,64.4677047729492,Yes,No,"GeneCards top 2,000"
HOTAIRM1,129,64.3622894287109,Yes,No,"GeneCards top 2,000"
SUFU,130,64.0909652709961,Yes,No,"GeneCards top 2,000"
NOTCH1,131,63.5383796691895,Yes,No,"GeneCards top 2,000"
WRN,132,63.5259780883789,Yes,No,"GeneCards top 2,000"
RAD51,133,62.9933586120605,Yes,No,"GeneCards top 2,000"
SNHG1,134,62.1601600646973,Yes,No,"GeneCards top 2,000"
MIR17,135,62.0308036804199,Yes,No,"GeneCards top 2,000"
TGFB1,136,61.5269203186035,Yes,No,"GeneCards top 2,000"
HULC,137,61.502685546875,Yes,No,"GeneCards top 2,000"
CASP8,138,61.3457489013672,Yes,No,"GeneCards top 2,000"
SDHAF2,139,61.2743606567383,Yes,No,"GeneCards top 2,000"
ARID1A,140,60.7607460021973,Yes,Yes,"GeneCards top 2,000 + OMIM"
BAX,141,60.7275466918945,Yes,No,"GeneCards top 2,000"
SFTA3,142,60.5701446533203,Yes,No,"GeneCards top 2,000"
MAP2K1,143,60.3681716918945,Yes,No,"GeneCards top 2,000"
AOPEP,144,59.6089477539063,Yes,No,"GeneCards top 2,000"
